伶	龄,冷,铃,另,磷,邻,陵,灵,玲,凝,林,零,临,怜,领,令,凌,岭
奶	奈,赖,莱,来,乃,耐
彰	葬,账,展,粘,章,长,占,掌,涨,脏,障,仗,张,战,沾,丈,胀,帐,站
师	市,实,司,寺,尸,四,使,拾,室,适,食,世,私,是,施,逝,势,死,识,石,试,诗,始,释,蚀,斯,撕,十,湿,思,式,似,士,示,氏,丝,帅,史,事,饲,视,驶,时,饰,失
壬	忍,仁,任,认,仍,扔,人
呛	前,千,强,潜,迁,钱,歉,谦,遣,墙,欠,腔,签,抢,浅,铅,牵,枪
胁	鞋,携,谢,斜,写,些,协,谐,械,歇,邪,卸,苏,泄,办
押	芽,雅,压,哑,鸦,鸭,崖,牙,呀,亚
镇	诊,争,整,珍,症,振,政,怎,挣,侦,证,睁,阵,郑,真,针,蒸,震,贞,正,征
掷	字,执,肢,滞,址,姿,致,稚,旨,志,直,滋,制,脂,织,支,汁,知,纸,指,资,兹,自,职,止,质,紫,芝,值,智,之,置,秩,治,子,至,殖,植,只,枝
佃	奠,垫,典,淀,电,殿,店,点,颠
厕	测,策,彻,车,扯,撤,册,侧
丝	市,实,司,寺,尸,四,使,拾,室,适,食,世,私,是,施,逝,势,死,识,师,石,试,诗,始,释,蚀,斯,撕,十,湿,思,式,似,士,示,氏,史,事,饲,视,驶,时,饰,失
悴	摧,吹,垂,脆,锤,催,粹,崔,翠
至	字,执,肢,滞,址,姿,致,稚,旨,志,到,直,滋,制,脂,织,支,汁,知,纸,指,资,兹,自,职,止,质,紫,芝,值,智,之,置,倒,秩,治,子,殖,植,只,枝
闰	论,轮,润,伦
钧	匀,峻,军,俊,君,菌,均
笑	效,萧,硝,销,孝,消,晓,校,小,肖
错	猎,蜡,措,借,惜,腊
诡	规,跪,鬼,愧,危,桂,贵,硅,轨,亏,龟,柜,归,脆,溃
参	渗,阐,苍,藏,缠,惨,残,仓,蚕,禅,颤,舱,餐,产
摆	拜,白,柏,败,百
粒	逆,黎,厉,拉,梨,理,李,利,立,离,礼,吏,厘,莉,历,哩,隶,你,丽,拟,尼,励,力,里,泥,日,例,璃,站
慈	词,次,池,齿,瓷,刺,磁,持,滋,驰,此,辞,耻,兹,斥,尺,迟,吃,翅,雌,赤
恬	括,刮,天,乱,甜,填,田,舌,添
瑙	老,闹,牢,捞,脑,恼,劳
标	祭,票,示,彪,表
嫁	驾,夹,架,家,佳,钾,甲,假,加,嘉,贾,稼,价
蒲	铺,谱,扑,搏,辅,普,仆,捕,膊,葡,朴,甫
冲	匆,从,聪,崇,充,丛,虫
携	鞋,写,些,协,卸,斜,谐,械,歇,泄,胁,邪,谢
挖	娃,哇,瓦,蛙
悍	凡,含,范,杭,泛,犯,饭,寒,反,汉,航,贩,罕,烦,番,繁,返,翻,喊,涵,韩,函,旱,汗
揣	瑞,端,喘
坟	冯,风,狠,疯,蜂,份,锋,氛,缝,很,芬,峰,粉,封,凤,奉,丰,粪,奋,恨,愤,逢,分,纷,痕
慨	既,概,改,钙,盖,溉,该,开,凯
吭	坑,垦,耕,肯,更,恳
冻	懂,洞,冬,动,东,董
音	鹰,英,映,姻,吟,赢,影,因,迎,殷,隐,盈,应,印,阴,引,硬,营,颖,婴,饮,银
炮	泡,饱,包,跑,抛,抱
旬	训,讯,寻,迅,询,逊,循,巡
脆	跪,摧,危,吹,垂,锤,催,粹,崔,翠
畴	凑,仇,愁,筹,臭,丑,抽,瞅,酬
摧	吹,垂,脆,锤,催,粹,崔,翠
奇	汽,期,岂,骑,凄,栖,棋,气,椅,齐,旗,起,其,弃,歧,器,企,漆,戚,七,契,启,妻,欺
永	泳,庸,用,涌,拥,勇,脉
渺	描,庙,秒,苗,妙
咏	泳,庸,用,涌,拥,永,勇,脉
堵	渡,煮,署,绪,独,毒,者,肚,杜,赌,读,都,督,诸,度
例	逆,黎,厉,梨,理,李,列,利,立,离,裂,礼,吏,厘,莉,历,哩,隶,你,丽,咧,烈,拟,尼,励,力,里,泥,日,粒,璃
制	字,执,肢,滞,址,姿,致,稚,旨,志,直,滋,脂,织,支,汁,知,纸,指,资,兹,自,职,止,质,紫,芝,值,智,之,置,秩,治,子,至,殖,植,只,枝
换	荒,缓,皇,惶,幻,煌,环,欢,黄,患,晃,慌,唤
铛	氮,胆,单,弹,丹,党,但,当,旦,诞,荡,档,淡,挡,蛋,担
贴	沾,占,粘,站,战,铁
雕	吊,调,掉,周
泽	译,这,择,哲,浙,著,折,者,遮,责,则,着
城	尘,称,程,沉,惩,层,诚,衬,臣,承,呈,趁,曾,盛,陈,成,晨,撑,乘
攀	判,盼,盘,叛,潘,庞,旁,胖
蝴	抚,扶,忽,副,服,湖,富,糊,乎,赋,复,夫,傅,妇,覆,幅,肤,呼,父,佛,辅,伏,付,胡,符,户,互,弗,腹,赴,咐,缚,浮,府,福,护,虎,腐,辐,负,甫,附
股	设,没,姑,役,骨,故,苦,投,固,酷,鼓,雇,咕,库,孤,古,枯,谷,哭,裤,顾,估,般
牧	亩,木,姆,墓,幕,慕,穆,目,母
枕	诊,争,整,珍,症,振,政,怎,挣,侦,证,睁,镇,阵,郑,真,针,蒸,震,贞,正,征
圃	扑,铺,葡,仆,朴,谱,普
晃	荒,缓,皇,惶,幻,煌,环,欢,黄,患,换,慌,唤
锤	摧,吹,垂,脆,催,粹,睡,崔,翠
胀	葬,账,展,粘,章,长,占,掌,涨,脏,障,仗,张,战,沾,丈,帐,站
誓	市,实,司,寺,尸,四,使,拾,室,适,食,世,私,是,施,逝,势,死,识,师,石,试,诗,始,释,蚀,斯,撕,十,湿,思,式,似,士,示,氏,丝,史,事,饲,视,驶,时,饰,失
需	许,序,叙,续,蓄,须,徐,儒,虚,吁,绪
倦	誉,捐,券,卷
胎	台,太,抬,泰,态
熊	胸,兄,凶,雄
卢	努,辱,录,怒,炉,儒,如,露,芦,入,奴,陆,路,鲁,乳,碌,鹿
惜	晰,猎,戏,袭,借,析,悉,腊,稀,习,吸,希,席,西,嘻,锡,细,隙,夕,息,溪,牺,系,错,蜡,措,洗,喜,媳
隋	髓,虽,税,碎,岁,睡,遂,随,水
蜂	冯,风,疯,份,衡,恒,氛,锋,缝,芬,峰,粉,封,凤,奉,丰,粪,蓬,横,奋,哼,逢,分,坟,纷,愤
坛	坦,滩,躺,谈,倘,堂,碳,糖,炭,探,贪,塘,汤,唐,趟,叹,摊
馋	逸,阐,缠,惨,参,肠,厂,唱,尝,偿,残,昌,勉,蚕,场,畅,倡,常,禅,颤,免,餐,挽,晚,产
饲	市,实,司,寺,尸,四,使,拾,室,适,食,世,私,是,施,逝,势,死,识,师,石,试,诗,始,释,蚀,斯,撕,十,湿,思,式,似,士,示,氏,丝,史,事,视,驶,时,饰,失
荒	缓,皇,惶,幻,煌,环,欢,黄,患,换,晃,慌,唤
篮	懒,郎,然,南,烂,难,栏,滥,染,浪,拦,兰,廊,览,临,燃,蓝,监,鉴,男,朗,狼
贷	呆,代,逮,戴,袋,带,待
酿	梁,凉,谅,娘,酒,醉,良,辆,亮,两,粮,念,配,年,酬,量,狼
咋	炸,杂,扎
稻	盗,倒,岛,导,蹈,刀,到,道
宁	龄,铃,另,您,陵,灵,玲,凝,零,领,令,凌,岭
杖	葬,账,展,粘,章,长,占,掌,涨,脏,障,仗,张,战,沾,丈,胀,帐,站
础	储,粗,初,出,楚,促,畜,触,厨,处,除
怠	呆,代,逮,戴,袋,带,待,贷
氏	市,底,实,司,寺,尸,四,使,拾,室,适,食,世,私,是,低,抵,施,逝,势,纸,死,识,师,石,试,诗,始,释,蚀,斯,撕,十,湿,思,式,似,士,示,丝,史,事,饲,视,驶,时,饰,失
撬	侨,乔,悄,敲,巧,桥,瞧
荡	氮,胆,单,弹,丹,党,但,当,旦,诞,档,淡,挡,蛋,担
该	概,慨,改,钙,盖,核,咳,溉,开,刻,凯
具	巨,距,惧,拒,聚,俱,举,居,据,剧,菊,局,矩,拘,句
仪	异,逸,役,医,抑,毅,义,一,益,议,疑,亦,乙,姨,宜,蚁,椅,移,译,疫,谊,亿,已,衣,依,遗,矣,易,以,艺,伊,意,忆,翼
头	投,透,偷
帚	奏,州,宙,昼,洲,走,轴,皱,骤,周
判	盼,半,伴,盘,叛,潘,庞,攀,旁,胖
泉	权,拳,圈,全,劝,券
蔬	诉,疏,束,数,淑,署,树,叔,宿,枢,肃,输,术,属,抒,俗,素,书,鼠,熟,舒,速,苏,塑,述,竖,殊
潭	坦,滩,躺,谈,倘,堂,碳,糖,炭,探,贪,坛,塘,汤,唐,趟,叹,摊
即	基,挤,集,济,鸡,寂,脊,际,机,既,疾,祭,技,及,辑,吉,迹,级,急,极,积,饥,几,击,己,绩,肌,激,忌,计,季,继,寄,籍,剂,记,纪
琢	卓,作,桌,捉,做,逐,左,昨,座,坐
搅	胶,骄,郊,焦,角,脚,较,缴,教,交,轿,娇,叫
馒	忙,蛮,漫,茫,慢,曼,盲,满
脯	育,铺,脊,谱,扑,搏,月,辅,普,仆,捕,朋,膊,背,葡,朴,甫
甩	帅,摔,衰
证	诊,争,整,珍,症,振,惩,政,侦,挣,睁,镇,歪,增,阵,郑,真,针,蒸,震,贞,正,征
讼	宋,松,耸,送,颂
严	焰,氧,阳,厌,言,养,验,颜,洋,央,沿,样,宴,燕,咽,秧,扬,盐,研,眼,炎,艳,烟,延,演,杨,掩,衍,仰,羊,岩
蝙	变,遍,辩,扁,编,辨,鞭,便,边
愿	源,员,元,远,原,渊,怨,圆,援,冤,园,缘,袁,院
虚	虑,序,吁,需,绪,许,叙,须,徐,蓄,续,虎
矫	胶,骄,郊,焦,角,搅,脚,较,缴,教,交,轿,娇,叫
瞅	凑,仇,愁,筹,臭,丑,抽,酬,畴
寓	与,裕,玉,育,愚,誉,语,豫,遇,雨,宇,愉,喻,于,愈,渔,预,余,予,欲,域,郁,狱,娱,羽,舆,鱼,御,浴
票	祭,飘,漂,示,标
刀	盗,倒,岛,稻,导,蹈,到,道
蜻	轻,庆,琴,侵,晴,请,倾,清,猜,氢,亲,青,睛,情,勤,秦
售	收,搜,瘦,兽,受,守,首,寿,手,授
墨	默,黑,莫,漠,摸,沫,陌,膜,摩,末,魔,抹,模,磨
贸	茅,貌,帽,冒,毛,茂,猫,矛
赞	葬,暂,展,粘,潜,占,脏,咱,战,沾,替,站
糯	逻,诺,螺,萝,络,落,裸,洛,罗
孩	海,害,咳,还
姿	次,字,执,肢,滞,址,致,稚,旨,志,直,滋,制,脂,织,支,汁,知,纸,指,资,兹,自,职,止,质,紫,芝,值,智,之,置,秩,治,子,至,殖,植,只,枝
眯	迷,秘,蜜,弥,米,断,密,泌,继
步	不,布,补,捕,部
发	罚,伐,哈,阀,乏,法
呢	乐,了
乐	惹,了,热,呢
则	测,这,择,哲,浙,著,折,者,遮,责,侧,泽,着
虹	鸿,轰,哄,洪,红,宏
暇	夏,下,吓,霞,假,峡,狭,瞎,辖
睬	彩,才,采,菜,材,财,柴,裁,蔡,猜,拆
削	穴,学,血,雪
缘	源,员,元,愿,远,原,渊,怨,圆,援,冤,园,袁,院
联	梁,凉,谅,良,链,耸,耻,辆,恋,亮,职,连,练,炼,两,怜,廉,粮,念,耳,莲,年,量,帘,脸
俘	抚,扶,忽,副,服,湖,富,糊,乎,赋,复,夫,傅,妇,覆,幅,肤,呼,父,佛,辅,伏,付,胡,符,户,互,弗,腹,赴,咐,缚,浮,府,福,护,虎,腐,辐,负,甫,附
稚	字,执,肢,滞,址,姿,致,旨,志,直,滋,制,脂,织,支,汁,知,纸,指,资,兹,自,职,止,质,紫,芝,值,智,之,置,秩,治,子,至,殖,植,只,枝
诵	宋,痛,松,桶,涌,耸,通,送,颂,讼
餐	阐,苍,藏,缠,惨,参,残,仓,蚕,禅,颤,舱,产
秤	尘,称,程,沉,惩,城,层,诚,衬,臣,承,呈,趁,曾,陈,成,晨,撑,乘
咧	劣,裂,猎,捏,烈,例,列
狡	胶,骄,校,郊,焦,角,效,搅,脚,较,缴,教,交,咬,轿,娇,叫
使	市,实,司,寺,尸,四,拾,室,适,食,世,私,是,施,逝,势,死,识,师,石,试,诗,始,释,蚀,斯,撕,十,湿,思,式,似,士,示,氏,丝,史,事,饲,视,驶,时,饰,失
乔	侨,骄,悄,敲,巧,桥,瞧,轿,侨,娇
埠	不,布,步,补,捕,部
鳄	恶,鹅,鄂,俄,饿,额
捐	倦,卷
豫	与,裕,玉,育,愚,誉,语,遇,雨,宇,愉,喻,于,愈,渔,预,余,予,欲,寓,域,郁,狱,娱,羽,舆,鱼,御,浴
牲	生,审,渗,婶,伸,升,身,绳,肾,省,什,慎,圣,声,申,神,剩,深,沈,僧,胜,甚,盛
桦	划,话,哗,花,画,滑,化,华
痪	荒,缓,皇,惶,幻,煌,环,欢,黄,患,换,晃,慌,唤
洒	沙,纱,萨,刹,杀,啥,撒,厦,砂,傻
灼	卓,左,座,桌,作,的,做,昨,捉,坐,约
爽	霜,双
恼	老,闹,牢,捞,脑,劳
峨	恶,鹅,鄂,俄,我,饿,额
衍	焰,氧,阳,厌,严,言,养,验,颜,洋,央,沿,样,宴,燕,咽,秧,扬,盐,研,眼,炎,艳,烟,延,演,杨,掩,仰,羊,岩
甘	杠,看,干,港,感,堪,肝,赶,坎,敢,刊,岗,刚,纲,甜,杆,砍,钢
斑	榜,琴,板,邦,膀,半,傍,伴,帮,班,棒,搬,扮,办,版,颁,王,狂,般
交	胶,骄,校,郊,焦,角,效,搅,脚,较,缴,教,咬,轿,娇,叫
刑	醒,行,杏,兴,新,信,幸,欣,性,型,辛,心,姓,形,星,开
火	货,祸,伙,惑,或,煤,霍,烧,获,炎,活,灾
抗	杠,看,港,康,堪,坑,坎,刊,岗,刚,纲,砍,钢,炕
舅	究,旧,久,酒,救,九,纠,就
阁	葛,格,隔,课,个,歌,棵,哥,可,革,胳,壳,克,各,科,割,渴,客,鸽,颗,刻,戈
早	招,遭,造,罩,爪,灶,找,兆,藻,召,照,燥,糟,赵
京	禁,净,静,惊,金,敬,凉,近,精,谅,劲,锦,筋,镜,津,晋,境,景,竟,浸,尽,巾,经,井,茎,警,颈,竞,掠,进,仅,睛,晶,紧,谨,今,径,斤
塞	寒,赛,晒
枣	招,遭,造,罩,爪,灶,找,早,兆,藻,召,照,燥,糟,赵
斥	词,次,池,齿,瓷,刺,磁,持,驰,此,辞,耻,尺,迟,慈,吃,翅,雌,赤
肉	柔,楼,漏
咬	胶,腰,校,郊,效,要,耀,药,邀,遥,摇,交,姚
屎	市,实,司,寺,尸,四,使,拾,室,适,食,世,私,是,施,逝,势,死,识,师,石,试,诗,始,释,蚀,斯,撕,十,湿,思,式,似,士,示,氏,丝,史,事,饲,视,驶,时,饰,失
瞪	灯,凳,登,等,邓
晒	塞,赛
东	冻,懂,洞,冬,动,董
诲	绘,辉,汇,毁,梅,灰,海,霉,回,慧,惠,恢,挥,徽,会,悔,每
曹	遭,巢,超,操,朝,抄,槽,糟,吵,草,潮
酥	诉,疏,束,数,蔬,淑,署,酒,树,叔,醉,宿,枢,肃,输,术,属,抒,俗,素,书,鼠,熟,舒,速,苏,塑,配,述,酬,竖,殊
宗	忠,仲,纵,终,众,重,总,崇,种,综,钟,衷,中,踪,肿
揩	概,慨,改,钙,盖,溉,该,开,凯
突	涂,土,徒,途,屠,图,兔,吐
焚	冯,风,狠,烧,疯,蜂,份,锋,氛,缝,很,芬,峰,粉,封,凤,炎,奉,丰,粪,灾,煤,奋,恨,愤,逢,分,坟,纷,痕,火
账	葬,展,粘,章,贫,长,占,掌,责,涨,脏,障,货,贪,仗,张,财,战,沾,贝,丈,胀,帐,贺,负,站
颠	奠,垫,典,淀,电,殿,店,点
人	忍,仁,任,认,仍,扔
导	盗,倒,岛,稻,蹈,刀,到,道
饿	恶,鹅,鄂,俄,额
凸	涂,土,徒,途,突,屠,图,兔,吐
巨	距,惧,拒,聚,俱,举,居,据,剧,柜,菊,局,矩,拘,句,具
敢	杠,看,干,港,感,甘,堪,肝,赶,坎,刊,岗,刚,纲,杆,砍,钢
庭	停,艇,亭,听,厅,廷,挺
鄙	闭,笔,比,彼,逼,毕,壁,蔽,鼻,碧,必,币,弊,避,臂
晨	辱,尘,称,程,沉,惩,振,唇,城,诚,衬,臣,承,呈,趁,震,陈,成,撑,乘
斋	摘,窄,寨,宰,再,灾,在,载,宅,债,仔,栽
雅	芽,押,压,哑,鸦,鸭,崖,牙,呀,亚
尺	词,次,池,齿,瓷,刺,磁,持,驰,此,辞,耻,斥,迟,慈,吃,翅,雌,赤
角	胶,骄,郊,焦,搅,脚,较,缴,教,交,轿,娇,叫
锈	修,羞,绣,袖,透,秀,休,诱,朽
肾	生,审,渗,婶,伸,升,身,绳,省,什,慎,圣,声,申,牲,神,剩,深,沈,胜,甚,盛,森
蛛	阻,柱,煮,驻,租,贮,嘱,主,祝,助,筑,珠,足,住,竹,铸,逐,组,祖,诸,猪,朱,株,族,注
入	辱,录,炉,儒,如,露,芦,陆,路,鲁,乳,碌,卢,鹿
谆	准,遵,尊
剩	生,审,渗,婶,伸,升,身,绳,肾,省,什,慎,圣,声,申,牲,神,深,沈,僧,胜,甚,盛
藕	偶,欧
缤	饼,兵,冰,滨,并,丙,宾,病
写	鞋,些,协,卸,斜,谐,携,械,歇,泄,胁,邪,谢
绣	修,羞,袖,透,秀,休,诱,朽
乾	前,千,强,潜,迁,钱,歉,谦,遣,墙,欠,腔,签,抢,浅,铅,牵,枪
咐	抚,扶,忽,副,服,湖,富,糊,乎,赋,复,夫,傅,妇,覆,幅,肤,呼,父,佛,辅,伏,付,胡,符,户,互,弗,腹,赴,缚,浮,府,福,护,虎,腐,辐,负,甫,附
淹	焰,氧,阳,厌,严,言,养,验,颜,洋,央,沿,样,宴,燕,咽,秧,俺,扬,盐,研,眼,炎,艳,烟,延,演,杨,掩,衍,仰,羊,岩
畏	慰,委,胃,惟,威,味,围,危,伟,未,为,位,伪,谓,尾,卫,维,纬,微,魏,喂,唯,违
彻	测,策,切,车,扯,撤,册,侧
漫	忙,蛮,茫,慢,曼,盲,满
胶	骄,校,郊,焦,角,效,搅,脚,较,缴,教,交,咬,轿,娇,叫
疟	掠,略
旺	万,汪,往,网,湾,忘,亡,完,玩,顽,望,碗,挽,晚,妄,王,弯
蜕	退,腿,推
印	鹰,英,映,姻,吟,赢,影,因,迎,殷,隐,盈,应,阴,引,硬,营,颖,婴,音,饮,银
卧	窝,我,握
较	胶,骄,郊,焦,角,搅,脚,缴,教,交,轿,娇,叫
绞	胶,骄,校,郊,焦,角,效,搅,脚,较,缴,教,交,咬,轿,娇,叫
算	酸
扮	榜,斑,板,邦,膀,半,傍,伴,帮,班,棒,搬,办,版,颁,般
撰	状,壮,赚,转,装,撞,砖,钻,庄,专
喳	咋,炸,杂,扎
游	友,优,由,又,邮,犹,油,幽,悠,右,忧,有,诱,幼,尤
辞	词,次,池,齿,瓷,刺,磁,持,驰,辟,此,耻,斥,辩,宰,尺,辛,辨,辣,迟,慈,吃,避,翅,雌,赤
畅	阐,苍,藏,缠,肠,厂,唱,尝,偿,昌,仓,场,倡,舱,常,禅,颤,产
估	姑,骨,股,故,苦,固,酷,鼓,雇,咕,库,孤,古,枯,谷,哭,裤,顾
请	轻,庆,琴,侵,晴,倾,清,氢,亲,青,情,勤,秦
理	逆,黎,厉,梨,李,利,立,离,童,礼,吏,厘,莉,历,埋,著,哩,隶,你,丽,拟,尼,励,力,里,泥,日,例,粒,璃
睹	渡,煮,署,绪,独,毒,者,肚,杜,赌,读,都,督,诸,堵,度
狞	龄,铃,另,您,陵,灵,玲,凝,零,领,令,凌,岭,宁
薯	诉,疏,束,数,蔬,淑,署,树,叔,宿,枢,肃,输,术,属,抒,俗,素,书,鼠,熟,舒,速,苏,塑,述,竖,殊
足	阻,柱,煮,驻,租,贮,嘱,主,祝,助,筑,珠,住,竹,铸,逐,组,祖,诸,猪,朱,株,族,注
好	耗,豪,浩,号,毫
锻	短,断,段,端
整	诊,争,珍,症,振,政,侦,挣,证,睁,镇,增,阵,郑,真,针,蒸,震,贞,正,征
呕	偶,欧
屋	物,吴,五,乌,雾,舞,无,务,污,悟,午,伍,呜,武,吾,误
淮	怀,坏
舱	苍,藏,惨,参,肠,厂,唱,尝,偿,残,昌,仓,蚕,场,畅,倡,常,餐
副	抚,扶,忽,服,湖,富,糊,乎,逼,赋,复,夫,傅,妇,覆,幅,肤,呼,父,佛,辅,伏,付,胡,符,户,互,弗,腹,赴,咐,缚,浮,府,福,护,虎,腐,辐,负,甫,附
罗	逻,弱,诺,螺,萝,若,络,落,裸,洛
溪	晰,戏,袭,析,悉,稀,习,吸,希,席,西,嘻,锡,细,隙,夕,息,牺,系,惜,洗,喜,媳
雳	逆,黎,厉,梨,理,李,利,立,离,礼,吏,厘,莉,历,哩,隶,你,丽,拟,尼,励,力,里,泥,日,例,粒,璃
桌	卓,作,捉,做,左,昨,掉,座,坐
一	异,逸,役,医,抑,毅,义,益,议,疑,亦,乙,姨,宜,蚁,椅,移,译,疫,谊,亿,已,衣,依,遗,矣,易,仪,以,艺,伊,意,忆,翼
邦	榜,斑,板,膀,半,傍,伴,帮,班,棒,搬,扮,办,版,颁,般
吧	爸,拔,八,坝,叭,霸,罢,把,巴
包	保,胞,暴,炮,宝,堡,泡,饱,抱,薄,爆,报,跑
姓	生,醒,行,杏,兴,新,信,幸,欣,性,型,辛,心,形,星,刑
并	饼,兵,冰,滨,拼,丙,宾,病
座	卓,作,桌,捉,做,左,昨,坐
锁	所,说,索,缩
拷	高,搞,靠,告,考,稿
啡	菲,黑,匪,肥,肺,非,嘿,废,费,飞,沸
蝉	阐,缠,惨,参,肠,厂,唱,尝,偿,残,昌,蚕,场,畅,倡,常,禅,颤,餐,产
缴	胶,骄,郊,焦,角,搅,脚,较,教,交,轿,娇,叫
注	阻,柱,煮,驻,租,贮,嘱,主,祝,往,助,筑,珠,足,住,竹,铸,逐,组,祖,诸,猪,朱,株,族
此	词,次,池,齿,瓷,刺,磁,持,驰,柴,辞,耻,些,斥,紫,尺,迟,慈,吃,翅,雌,赤
衣	异,逸,役,医,抑,毅,义,一,益,议,疑,亦,乙,姨,宜,蚁,椅,移,译,疫,谊,亿,已,依,遗,矣,易,仪,以,艺,伊,意,忆,翼
素	诉,疏,束,数,蔬,淑,署,树,叔,宿,枢,肃,输,术,属,抒,俗,书,鼠,熟,舒,速,苏,塑,述,竖,殊
凌	淋,龄,铃,另,磷,邻,陵,灵,玲,凝,林,零,临,领,令,岭,宁
匣	夏,下,吓,霞,峡,狭,瞎,辖
环	荒,坏,缓,皇,惶,幻,煌,不,欢,黄,患,换,晃,慌,唤
傍	榜,斑,板,邦,膀,半,伴,帮,班,棒,搬,扮,办,版,颁,旁,般
派	排,牌,拍
鼓	肢,姑,骨,股,故,苦,技,支,固,酷,雇,歧,咕,库,孤,古,枯,谷,哭,裤,顾,枝,估
虽	髓,税,碎,岁,睡,遂,随,水
胰	异,逸,役,医,抑,毅,义,一,益,议,疑,亦,乙,姨,宜,蚁,椅,移,译,疫,谊,亿,已,衣,依,遗,矣,易,仪,以,艺,伊,意,忆,翼
筏	罚,伐,哈,阀,乏,法,发
局	巨,距,惧,拒,聚,俱,举,居,据,剧,菊,矩,拘,句,具
侣	绿,女,虑,旅,铝,率,履,吕,律,氯,驴
吏	逆,黎,厉,梨,理,李,利,立,离,礼,厘,莉,历,哩,隶,你,丽,拟,尼,励,力,里,泥,日,例,粒,璃
歧	汽,肢,期,岂,骑,凄,栖,技,棋,气,奇,支,齐,旗,鼓,起,其,弃,器,企,漆,戚,七,契,枝,启,妻,欺
猎	劣,裂,错,蜡,措,借,捏,烈,腊,咧,惜,列
器	汽,期,岂,骑,凄,栖,棋,气,奇,齐,旗,起,其,弃,歧,企,漆,戚,七,契,启,妻,欺
饮	鹰,英,映,姻,吟,赢,影,因,迎,殷,隐,坎,盈,应,印,阴,引,硬,吹,欢,营,欠,颖,婴,音,银
屯	吞
骆	弱,落,螺,诺,萝,各,洛,络,路,逻,若,裸,罗
这	择,哲,浙,著,折,者,遮,责,则,泽,着
汗	凡,含,范,杭,泛,犯,饭,寒,反,汉,航,贩,罕,烦,番,繁,返,翻,喊,涵,韩,函,旱
或	货,祸,伙,惑,霍,获,活,火
共	控,贡,功,宫,巩,工,恭,洪,攻,恐,哄,孔,弓,供,空,公
芬	冯,风,狠,疯,蜂,份,锋,氛,缝,很,峰,粉,封,凤,奉,丰,粪,奋,恨,愤,逢,分,坟,纷,痕
架	驾,夹,家,嫁,佳,钾,甲,假,加,嘉,贾,稼,价
夜	业,叶,野,爷,冶,也,液,页
失	市,实,司,寺,尸,四,使,拾,室,适,食,世,私,是,施,逝,势,死,识,师,石,试,诗,始,释,蚀,斯,撕,十,湿,思,式,似,士,示,氏,丝,史,事,饲,视,驶,时,饰
圈	权,拳,全,劝,泉,券
拍	排,怕,陌,牌,白,泊,伯,柏,帕,派
羞	修,绣,袖,秀,休,朽
竞	禁,净,静,惊,金,京,敬,近,精,劲,锦,筋,镜,津,晋,境,景,竟,浸,尽,巾,经,井,茎,警,颈,进,仅,睛,晶,紧,谨,今,径,斤
咖	卡
肆	市,实,司,寺,尸,四,使,拾,室,适,食,世,私,是,施,逝,势,死,识,师,石,试,诗,始,释,蚀,斯,撕,十,湿,思,式,似,士,示,氏,丝,史,事,饲,视,驶,时,饰,失
西	晰,戏,袭,析,悉,稀,习,吸,希,席,嘻,锡,细,隙,夕,息,溪,牺,系,惜,洗,喜,媳
冶	业,叶,野,爷,夜,也,液,页
嫩	能
牌	排,卑,碑,拍,脾,派
吗	马,蚂,嘛,驱,麻,驰,妈,码,驼,玛,骂
艺	异,逸,役,医,抑,毅,义,一,益,议,疑,亦,乙,姨,宜,蚁,椅,移,译,疫,谊,亿,已,衣,依,遗,矣,易,仪,以,伊,意,忆,翼
起	汽,越,期,走,岂,骑,凄,栖,棋,气,奇,齐,旗,趣,其,弃,歧,徒,器,企,漆,趋,超,戚,趟,七,契,启,妻,欺
砚	焰,氧,觉,阳,现,厌,严,言,养,验,颜,见,洋,央,沿,样,宴,燕,咽,秧,扬,盐,研,眼,炎,艳,烟,延,演,杨,观,掩,衍,仰,羊,视,岩
绑	榜,斑,板,邦,膀,半,傍,伴,帮,班,棒,搬,扮,办,版,颁,般
芝	字,执,肢,滞,址,姿,致,稚,旨,志,泛,直,滋,制,脂,织,支,汁,知,纸,指,资,兹,自,职,止,质,紫,值,智,之,置,秩,治,子,乏,至,殖,植,只,枝
催	摧,吹,垂,脆,锤,粹,崔,翠
捉	卓,作,桌,做,左,昨,座,坐
桨	碱,蒋,讲,匠,简,见,减,尖,箭,键,降,姜,剪,渐,奖,剑,件,健,建,江,疆,检,坚,将,兼,监,肩,鉴,间,艰,舰,僵,践,奸,歼,浆
肺	菲,黑,匪,肥,非,嘿,废,费,飞,沸
瞄	描,庙,猫,秒,苗,妙
擅	上,衫,赏,珊,陕,三,商,散,善,伤,闪,山,扇,尚
霞	夏,下,吓,假,峡,狭,瞎,辖
消	萧,孝,笑,校,梢,效,稍,晓,小,肖,悄,哨,硝,销
福	抚,扶,忽,副,服,湖,富,糊,乎,逼,赋,复,夫,傅,妇,覆,幅,肤,呼,父,佛,辅,伏,付,胡,符,户,互,弗,腹,赴,咐,缚,浮,府,护,虎,腐,辐,负,甫,附
遥	姚,咬,摇,腰,邀,瑶,要,耀,药
烟	焰,氧,阳,厌,严,言,养,验,颜,洋,央,沿,样,宴,燕,咽,秧,扬,盐,研,眼,炎,艳,延,演,杨,掩,衍,仰,羊,岩
篷	棚,碰,膨,朋,峰,蜂,喷,捧,逢,缝,锋,彭,盆,蓬
谜	迷,秘,蜜,弥,米,密,泌
稼	驾,夹,架,家,嫁,佳,钾,甲,假,加,嘉,贾,价
