النمط	المستبدل	ملاحظة1	الخطأ	الصحيح		
المُنـَوَّهُ عنه|المنوه إليه	المُنـَوَّهُ به		هذا الرجلُ المُنـَوَّهُ عنه / إليه	هذا الرجلُ المُنـَوَّهُ به		
أنْوِيَة 	نـَوًى | نـَوَيات		أنْوِيَة 	نـَوًى / نـَوَيات		
هَجَسَ في الأمرِ	هَجَسَ الأمرُ في صدره		هَجَسَ في الأمرِ	هَجَسَ الأمرُ في صدره		
هَدَسَ في الأمر 	هَجَسَ الأمرُ في صدره		هَدَسَ في الأمر 	هَجَسَ الأمرُ في صدره		
أَهْدَاهُ هديّةً 	أَهْدَى له هدية |أهدى إليه هديّةً	الفعل (أهدى) يتعدى إلى مفعول واحد	أَهْدَاهُ هديّةً 	أَهْدَى له / إليه هديّةً		
هُطُولُ المطر	هَطْلُ المطر| هَطَلانُ المطر		هُطُولُ المطر	هَطْلُ / هَطَلانُ المطر		
تَهَافَتَ الفراش إلى النور	تَهَافَتَ الفراش على النور		تَهَافَتَ الفراش إلى النور	تَهَافَتَ الفراش على النور		
هكذا أشياء	مثل هذه الأشياء |أشياء كهذه		إن هكذا أشياء	إن مثل هذه الأشياء / إن أشياء كهذه		
تَهَكَّمَ على	تَهَكَّم ب	(تَهَكَّمَ على فلان): اشتد غضبه عليه	تَهَكَّمَ على فلان 	تَهَكَّم بفلان		
هل إن	أإن	(هل) لا تدخل على الشرط	هل إن غبتُ عن العمل أُعاقب؟	أإن غبتُ عن العمل أعاقب؟		
هل س	هل	(هل) يخصِّص المضارع بالاستقبال	هل سيباشر فلان؟	هل يباشر فلان؟		
هل لم	أمَا| ألم	(هل) لا تدخل على الكلام المنفي	هل لم يباشر فلان؟	أما باشر فلان؟ / ألم يباشر فلان؟		
هل إنـّه	هل	(هل) للاستفهام، و(إنّ) للتوكيد، وهما لا يجتمعان	هل إنـّه نجح فيما سعى إليه؟	هل نجح فيما سعى إليه		
رجلٌ مَهْوُوس	رجلٌ مُهَوَّس	(هَاسَ فلانٌ): أكل شديداً، وطاف بالليل في جُرْأ، (هَوَّسَ اللّهُ فلاناً): جَعَلَهُ ذا هَوَس، (الهَوَس): طَرَفٌ من الجنون. 	رجلٌ مَهْوُوس	رجلٌ مُهَوَّس		
هَابَ من	هَابَ 	الفعل (هاب) يتعدّى بنفسه	هَابَ من فلان	هَابَ فلاناً		
رَجُلٌ مُهَابٌ	رَجُلٌ مَهِيبٌ	(أهاب): دعا، وصاح	قاضِينا رَجُلٌ مُهَابٌ	قاضِينا رَجُلٌ مَهِيبٌ		
أَهَاجَهُ الأمرُ 	هَاجَهُ الأمرُ	(أهاجتِ الريحُ النبتَ): أَيْبَسَتْهُ	أَهَاجَهُ الأمرُ 	هَاجَهُ الأمرُ		
شرٌّ مُهاج	شرٌّ مَهِيج		شرٌّ مُهاج	شرٌّ مَهِيج		
والتي	التي		سنتبع سياسة الترغيب والتي ستكون..	سنتبع سياسة الترغيب التي ستكون..		
والذي	الذي		سيبدأ قريباً الفصل الدراسي الثاني والذي مدته ثلاثة أشهر	سيبدأ قريباً الفصل الدراسي الثاني الذي مدته ثلاثة أشهر		
لا بدَّ وأن	لا بدَّ أن	لا تدخل الواوُ بين اسم (لا) و(أن) المصدرية. الأصل: (لا بد من أن...) ويجوز إسقاط الجار قبل (أن)	لا بدَّ وأن تتغير الحال	لا بدَّ أن تتغير الحال		
إلاّ و	إلاّ		ما تَحدَّثَ إلاّ وقال خيراً	ما تَحدَّثَ إلاّ قال خيراً		
حتى ولو كان	حتى لو كان		حتى ولو كان...	حتى لو كان...		
كما وأنه	كما أنه		فلانٌ كاتبٌ كما وأنه شاعرٌ	فلانٌ كاتبٌ كما أنه شاعرٌ		
رِجَالٌ ثِقَاةٌ 	رِجَالٌ ثِقَاتٌ		رِجَالٌ ثِقَاةٌ 	رِجَالٌ ثِقَاتٌ		
لا يَجِبُ أن	يَجِبُ ألاّ	(لا يجب أن تذهب) تعني أن الذهاب ليس واجباً عليك، فيمكنك الذهاب وعدمه	لا يَجِبُ أن تذهبَ 	يَجِبُ ألاّ تذهبَ		
وَجَدَ عليه 	حَزِنَ عليه	(وجَدَ عليه): غَضِبَ عليه، (وَجَدَ به): أَحَبَّه	وَجَدَ عليه 	حَزِنَ عليه		
يتواجد	يوجد		يتواجد الحديد في الطبيعة بكثرة	يوجد الحديد في الطبيعة بكثرة		
لِوَحْدِه	وَحْدَهُ	(وَحْد) منصوبٌ على الحال	سَافَرَ لِوَحْدِه	سَافَرَ وَحْدَهُ		
على حِدا |على حِدى|حِدَه	على حِدَةٍ		جعله على حِدا / حِدى / حِدَه	جعله على حِدَةٍ		
التَّوَادُدُ والتراحُم	التَّوَادُّ والتراحُم	يجب الإدغام في مصدر الثلاثي المضعف المزيد على وزن (تَفاعُل)	التَّوَادُدُ والتراحُم	التَّوَادُّ والتراحُم		
الوَرِيثُ	الوَارِثُ	(الوريث) لم تسمع عن العرب	فلانٌ هو الوَرِيثُ الوحيد	فلان هو الوَارِثُ الوحيد		
وَارَوا الشّهِيدَ الترابَ	وَارَوا الشّهِيدَ في الترابِ	الفعل (وارى) يتعدى بنفسه إلى مفعول واحد	وَارَوا الشّهِيدَ الترابَ	وَارَوا الشّهِيدَ في الترابِ		
توازعوه فيما بينهم	توزَّعوه فيما بينهم	ليس في العربية (توازع)	توازعوه فيما بينهم	توزَّعوه فيما بينهم		
توسَّل	توسَّل ب	(توسَّل) لا يتعدى بنفسه, وإنما يتوصل إلى ما يستعين به بالباء	لم تنفعْه الحُجَجُ التي توسَّلها لتبرئته	لم تنفعْه الحُجَجُ التي توسَّل بها لتبرئته		
مُوشِكٌ على الإفلاس 	مشرف على الإفلاس|على وشْك الإفلاس		فلانٌ مُوشِكٌ على الإفلاس 	فلان مشرف على الإفلاس		
#مُوشِكٌ على الإفلاس 	على وشْك الإفلاس		فلانٌ مُوشِكٌ على الإفلاس 	فلان على وشْك الإفلاس		
بابٌ مَوْصُودٌ	بابٌ مُوصَدٌ	(وَصَدَ الشيءُ): ثـَبـَتَ	بابٌ مَوْصُودٌ	بابٌ مُوصَدٌ		
اتّصَلَ معه	اتّصَلَ به		اتّصَلَ معه	اتّصَلَ به		
وَضَاحَةُ العبارة	وُضُوحُ العبارة		وَضَاحَةُ العبارة	وُضُوحُ العبارة		
مَوْضِعٌ وَاطِئٌ	مَوْضعٌ وَطِيء|موضع منخفض	(الواطئ) اسم فاعل من (وطئ)	مَوْضِعٌ وَاطِئٌ	مَوْضعٌ وَطِيء / منخفض		
استوطن في	استوطن		حَلّ خالد بحمص واستوطن فيها 	حَلّ خالد بحمص واستوطنها 		
توطَّن في	توطَّن	(استوطن) و(توطَّن) فعلان متعديان	حَلّ خالد بحمص وتوطَّن فيها	حَلّ خالد بحمص وتوطَّنها 		
مُتَوَعِّكٌ	مَوْعُوك| وَعِكٌ		فلانٌ مُتَوَعِّكٌ	فلانٌ مَوْعُوك / وَعِكٌ		
وَفَى الكَيْلَ 	أَوْفَى الكيلَ		وَفَى الكَيْلَ 	أَوْفَى الكيلَ		
وَقَدْتُ الحطبَ	أوْقَدْتُ الحطبَ		وَقَدْتُ الحطبَ	أوْقَدْتُ الحطبَ		
أوْكَلَ الأمرَ إلى|مُوكَلٌ إليه	وَكَلَ الأمرَ إلى |مَوْكُولٌ إليه|أوْكَلَ الأمرَ على|مُوكَلٌ عليه		أوْكَلَ الأمرَ إلى فلان، فهو مُوكَلٌ إليه	وَكَلَ الأمرَ إلى فلان، فهو مَوْكُولٌ إليه		
#أوْكَلَ الأمرَ إلى|مُوكَلٌ إليه	أوْكَلَ الأمرَ على|مُوكَلٌ عليه		أوْكَلَ الأمرَ إلى فلان، فهو مُوكَلٌ إليه	أوْكَلَ الأمرَ على فلان، فهو مُوكَلٌ عليه		
تولّج الأمرَ بنفسه	تولّى الأمرَ بنفسه|تقلّد الأمرَ بنفسه	(تولّج): دخل	تولّج الأمرَ بنفسه	تولّى / تقلّد / الأمرَ بنفسه		
وَلَّعَ النارَ	أَشْعَلَ النار|أَوْقَدَ النارَ	(وَلَّع فلاناً به): أغراه	وَلَّعَ النارَ	أَشْعَلَ / أَوْقَدَ النارَ		
لم يَلدْ له أبناء	لم يُولَد له أبناء		لم يَلدْ له أبناء	لم يُولَد له أبناء		
الموانئ 	المواني		الموانئ 	المواني		
لأول وهلة	أول وهلة		يبدو ذلك غامضاً لأول وهلة	يبدو ذلك غامضاً أول وهلة		
اليافطة	اللافتة		اليافطة	اللافتة		
رجال يَقْظَى 	رجال يـِقاظٌ|رجال أيْقاظٌ	(يَقْظَى) مؤنث (يقظان)، وفي جمعها تقول:(هذه نسوة يـِقاظ / يَقاظى) 	هؤلاء رجال يَقْظَى 	هؤلاء رجال يـِقاظٌ / أيْقاظٌ		
أيقن من 	أيقن|أيقن ب|استوثق| توثـَّقُ من|كان من الأمر على يقين		أيقنتُ من الأمر	أيقنتُ الأمرَ / بالأمر		
#أيقن من 	استوثق| توثـَّقُ من 		أيقنتُ من الأمر	استوثقتُ / توثـَّقتُ من الأمر		
#أيقن من	كان من الأمر على يقين	(أيقن) يتعدى بنفسه أو بالباء	أيقنتُ من الأمر	كنتُ من الأمر على يقين		
يَمِيناً صَادِقاً 	يَمِيناً صَادِقَةً	(اليمين) اسمٌ مؤنث	يَمِيناً صَادِقاً 	يَمِيناً صَادِقَةً		
