# Manually added:

be; me; 1000000                         # p=0.999, r=0.819, 1000+953, 3grams, 2017-03-09
sidelined; sidelines; 1000              # p=0.994, r=0.800, 1000+1000
sidelined; sidelines; 100               # p=0.992, r=0.831, 1000+1000
siding; aiding; 1000000                 # p=1.000, r=0.367, 1000+1000
siding; aiding; 100000                  # p=1.000, r=0.433, 1000+1000
siding; aiding; 10000                   # p=1.000, r=0.500, 1000+1000
siding; aiding; 1000                    # p=0.999, r=0.580, 1000+1000
siding; aiding; 100                     # p=0.998, r=0.670, 1000+1000
siding; aiding; 10                      # p=0.991, r=0.738, 1000+1000
sieved; sieves; 1000000                 # p=1.000, r=0.344, 141+377
sieved; sieves; 100000                  # p=1.000, r=0.425, 141+377
sieved; sieves; 10000                   # p=1.000, r=0.475, 141+377
sieved; sieves; 1000                    # p=1.000, r=0.533, 141+377
sighing; signing; 1000000               # p=0.996, r=0.189, 283+1000
sighing; signing; 100000                # p=0.994, r=0.264, 283+1000
signer; signet; 100000                  # p=0.996, r=0.123, 1000+1000
signer; signet; 10000                   # p=0.995, r=0.191, 1000+1000
signer; signet; 1000                    # p=0.996, r=0.336, 1000+1000
signer; signet; 100                     # p=0.995, r=0.428, 1000+1000
signers; signets; 1000000               # p=0.998, r=0.548, 1000+34
signers; signets; 100000                # p=0.998, r=0.609, 1000+34
signers; signets; 10000                 # p=0.999, r=0.685, 1000+34
signers; signets; 1000                  # p=0.993, r=0.727, 1000+34
signers; signets; 100                   # p=0.994, r=0.770, 1000+34
signers; signets; 10                    # p=0.993, r=0.840, 1000+34
signified; signifies; 1000000           # p=1.000, r=0.126, 1000+1000
signified; signifies; 100000            # p=1.000, r=0.144, 1000+1000
silhouetted; silhouettes; 1000000       # p=1.000, r=0.218, 452+1000
silhouetted; silhouettes; 100000        # p=0.997, r=0.258, 452+1000
silhouetted; silhouettes; 10000         # p=0.998, r=0.342, 452+1000
silhouetted; silhouettes; 1000          # p=0.997, r=0.402, 452+1000
silkier; sillier; 1000                  # p=0.990, r=0.391, 28+233
silks; sills; 1000000                   # p=0.996, r=0.124, 1000+998
silks; sills; 100000                    # p=0.997, r=0.164, 1000+998
silks; sills; 10000                     # p=0.998, r=0.219, 1000+998
sillies; sullies; 1000000               # p=1.000, r=0.200, 33+22
sillies; sullies; 100000                # p=1.000, r=0.218, 33+22
sillies; sullies; 10000                 # p=1.000, r=0.273, 33+22
sillies; sullies; 1000                  # p=1.000, r=0.345, 33+22
sillies; sullies; 100                   # p=1.000, r=0.545, 33+22
sillies; sullies; 10                    # p=1.000, r=0.655, 33+22
silly; dilly; 1000000                   # p=0.990, r=0.395, 1000+551
silos; sills; 100000                    # p=0.993, r=0.134, 1000+998
silos; sills; 10000                     # p=0.994, r=0.175, 1000+998
silos; sills; 1000                      # p=0.994, r=0.237, 1000+998
silos; solos; 1000000                   # p=0.996, r=0.112, 1000+1000
silos; solos; 100000                    # p=0.994, r=0.171, 1000+1000
silos; solos; 10000                     # p=0.995, r=0.217, 1000+1000
silos; solos; 1000                      # p=0.991, r=0.285, 1000+1000
silting; wilting; 1000000               # p=1.000, r=0.198, 732+321
silting; wilting; 100000                # p=1.000, r=0.222, 732+321
silting; wilting; 10000                 # p=0.996, r=0.246, 732+321
silting; wilting; 1000                  # p=0.997, r=0.311, 732+321
silting; wilting; 100                   # p=0.992, r=0.368, 732+321
silvers; solvers; 10000                 # p=0.992, r=0.184, 1000+986
simmered; summered; 1000000             # p=0.992, r=0.163, 508+283
simmered; summered; 100000              # p=0.995, r=0.248, 508+283
simmered; summered; 10000               # p=0.996, r=0.326, 508+283
simmered; summered; 1000                # p=0.991, r=0.420, 508+283
simmering; summering; 1000000           # p=0.997, r=0.273, 1000+108
simmering; summering; 100000            # p=0.997, r=0.338, 1000+108
simmering; summering; 10000             # p=0.998, r=0.405, 1000+108
simmering; summering; 1000              # p=0.993, r=0.499, 1000+108
sims; aims; 1000000                     # p=0.999, r=0.384, 997+998
sims; aims; 100000                      # p=0.998, r=0.401, 997+998
sims; aims; 10000                       # p=0.992, r=0.414, 997+998
sims; dims; 100                         # p=0.992, r=0.230, 997+136
sine; dine; 1000000                     # p=0.995, r=0.368, 999+1000
sine; dine; 100000                      # p=0.994, r=0.396, 999+1000
sines; dines; 1000000                   # p=0.997, r=0.242, 661+516
sines; dines; 100000                    # p=0.997, r=0.280, 661+516
sines; dines; 10000                     # p=0.995, r=0.347, 661+516
sines; dines; 1000                      # p=0.996, r=0.387, 661+516
sines; dines; 100                       # p=0.996, r=0.438, 661+516
sinew; sines; 100000                    # p=1.000, r=0.129, 337+661
sinew; sines; 1000                      # p=0.993, r=0.298, 337+661
sinew; sines; 100                       # p=0.993, r=0.407, 337+661
singes; singed; 1000000                 # p=1.000, r=0.173, 180+260
singes; singed; 100000                  # p=0.991, r=0.248, 180+260
singes; singed; 10000                   # p=0.993, r=0.334, 180+260
singled; singles; 1000000               # p=0.999, r=0.633, 1000+978
singled; singles; 100000                # p=0.999, r=0.656, 1000+978
singled; singles; 10000                 # p=0.999, r=0.703, 1000+978
singled; singles; 1000                  # p=0.998, r=0.727, 1000+978
singled; singles; 100                   # p=0.993, r=0.759, 1000+978
sinless; sunless; 1000000               # p=1.000, r=0.156, 280+266
sinless; sunless; 100000                # p=1.000, r=0.227, 280+266
sinless; sunless; 10000                 # p=1.000, r=0.289, 280+266
sinless; sunless; 1000                  # p=0.995, r=0.368, 280+266
sinless; sunless; 100                   # p=0.991, r=0.419, 280+266
sinners; winners; 10000                 # p=0.990, r=0.154, 1000+999
sipper; dipper; 100000                  # p=0.990, r=0.198, 38+1000
sir; air; 1000000                       # p=0.998, r=0.289, 975+965
sir; air; 100000                        # p=0.995, r=0.330, 975+965
sir; air; 10000                         # p=0.996, r=0.396, 975+965
sired; aired; 1000000                   # p=0.996, r=0.278, 1000+990
sired; aired; 100000                    # p=0.994, r=0.313, 1000+990
sired; aired; 10000                     # p=0.993, r=0.380, 1000+990
sire; dire; 1000000                     # p=0.994, r=0.180, 998+1000
sire; dire; 100000                      # p=0.993, r=0.209, 998+1000
sire; dire; 10000                       # p=0.992, r=0.258, 998+1000
sired; sires; 1000000                   # p=0.998, r=0.292, 1000+1000
sired; sires; 100000                    # p=0.995, r=0.375, 1000+1000
sired; sires; 10000                     # p=0.993, r=0.482, 1000+1000
sired; sires; 1000                      # p=0.991, r=0.544, 1000+1000
siring; airing; 1000000                 # p=0.994, r=0.128, 380+999
siring; airing; 100000                  # p=0.991, r=0.156, 380+999
sited; sired; 1000000                   # p=0.998, r=0.269, 1000+1000
sited; sired; 100000                    # p=0.999, r=0.359, 1000+1000
sited; sired; 10000                     # p=0.998, r=0.510, 1000+1000
sited; sired; 1000                      # p=0.997, r=0.572, 1000+1000
sited; sired; 100                       # p=0.995, r=0.642, 1000+1000
sixth; sixty; 1000000                   # p=0.998, r=0.327, 1000+1000
sixth; sixty; 100000                    # p=0.999, r=0.391, 1000+1000
sixth; sixty; 10000                     # p=0.992, r=0.440, 1000+1000
sized; sizes; 1000000                   # p=0.998, r=0.643, 1000+1000
sized; sizes; 100000                    # p=0.997, r=0.735, 1000+1000
sized; sizes; 10000                     # p=0.997, r=0.794, 1000+1000
sized; sizes; 1000                      # p=0.995, r=0.852, 1000+1000
skated; slated; 1000000                 # p=0.992, r=0.451, 1000+1000
skates; slates; 1000000                 # p=1.000, r=0.152, 1000+999
skates; slates; 100000                  # p=1.000, r=0.189, 1000+999
skates; slates; 10000                   # p=0.998, r=0.241, 1000+999
skating; slating; 1000000               # p=0.991, r=0.429, 1000+86
sketched; sketches; 1000000             # p=0.995, r=0.202, 1000+999
sketched; sketches; 100000              # p=0.993, r=0.282, 1000+999
skew; slew; 1000000                     # p=1.000, r=0.235, 1000+1000
skew; slew; 100000                      # p=1.000, r=0.292, 1000+1000
skew; slew; 10000                       # p=0.999, r=0.363, 1000+1000
skew; slew; 1000                        # p=0.994, r=0.440, 1000+1000
skid; slid; 1000000                     # p=0.997, r=0.291, 1000+1000
skid; slid; 100000                      # p=0.991, r=0.340, 1000+1000
skier; slier; 1000000                   # p=0.996, r=0.213, 1000+46
skier; slier; 100000                    # p=0.996, r=0.248, 1000+46
skier; slier; 10000                     # p=0.998, r=0.388, 1000+46
skier; slier; 1000                      # p=0.998, r=0.515, 1000+46
skier; slier; 100                       # p=0.999, r=0.653, 1000+46
skier; slier; 10                        # p=0.992, r=0.826, 1000+46
skier; slier; 10                        # p=0.991, r=0.839, 1000+46
skill; skull; 1000000                   # p=0.994, r=0.161, 997+999
skill; skull; 10000                     # p=0.992, r=0.248, 997+999
skimmed; slimmed; 1000000               # p=0.994, r=0.478, 1000+379
skimmed; slimmed; 100000                # p=0.992, r=0.561, 1000+379
skimmer; slimmer; 1000000               # p=0.997, r=0.181, 766+933
skimmer; slimmer; 100000                # p=0.995, r=0.225, 766+933
skimmer; slimmer; 10000                 # p=0.994, r=0.300, 766+933
skimmer; slimmer; 1000                  # p=0.995, r=0.378, 766+933
skimmer; slimmer; 100                   # p=0.990, r=0.467, 766+933
skimmers; slimmers; 100000              # p=0.995, r=0.358, 510+20
skimmers; slimmers; 10000               # p=0.995, r=0.402, 510+20
skimmers; slimmers; 1000                # p=0.995, r=0.709, 510+20
skimmers; slimmers; 100                 # p=0.990, r=0.753, 510+20
skimmers; slimmers; 10                  # p=0.991, r=0.792, 510+20
skimming; slimming; 1000000             # p=1.000, r=0.219, 1000+328
skimming; slimming; 100000              # p=1.000, r=0.335, 1000+328
skimming; slimming; 10000               # p=0.994, r=0.395, 1000+328
skims; skins; 1000000                   # p=0.993, r=0.382, 140+1000
skims; skins; 100000                    # p=0.995, r=0.478, 140+1000
skims; skins; 10000                     # p=0.992, r=0.547, 140+1000
skipped; slipped; 1000000               # p=1.000, r=0.104, 1000+999
skipped; slipped; 100000                # p=1.000, r=0.170, 1000+999
skipped; slipped; 10000                 # p=1.000, r=0.232, 1000+999
skipped; slipped; 1000                  # p=1.000, r=0.296, 1000+999
skipped; slipped; 100                   # p=1.000, r=0.350, 1000+999
skipped; slipped; 10                    # p=0.993, r=0.404, 1000+999
skippers; slippers; 1000000             # p=0.992, r=0.127, 999+1000
skippers; slippers; 100000              # p=0.991, r=0.166, 999+1000
skip; slip; 1000000                     # p=1.000, r=0.106, 998+998
skip; slip; 100000                      # p=0.993, r=0.145, 998+998
skip; slip; 10000                       # p=0.994, r=0.179, 998+998
skirmished; skirmishes; 1000000         # p=0.997, r=0.401, 421+1000
skirmished; skirmishes; 100000          # p=0.996, r=0.471, 421+1000
skirmished; skirmishes; 10000           # p=0.992, r=0.537, 421+1000
skirmished; skirmishes; 1000            # p=0.992, r=0.623, 421+1000
skis; skid; 1000000                     # p=1.000, r=0.133, 999+1000
skis; skid; 100000                      # p=1.000, r=0.171, 999+1000
skis; skid; 10000                       # p=1.000, r=0.225, 999+1000
skis; skid; 1000                        # p=0.992, r=0.296, 999+1000
skulks; skulls; 1000000                 # p=0.993, r=0.521, 26+998
skulks; skulls; 100000                  # p=0.993, r=0.581, 26+998
skulks; skulls; 10000                   # p=0.992, r=0.633, 26+998
skulks; skulls; 1000                    # p=0.990, r=0.699, 26+998
skulks; skulls; 100                     # p=0.991, r=0.745, 26+998
slab; slag; 1000000                     # p=0.998, r=0.204, 1000+1000
slab; slag; 100000                      # p=0.998, r=0.240, 1000+1000
slab; slag; 10000                       # p=0.995, r=0.285, 1000+1000
slab; slag; 1000                        # p=0.990, r=0.347, 1000+1000
slabs; slags; 1000000                   # p=0.992, r=0.422, 1000+183
slabs; slags; 100000                    # p=0.993, r=0.483, 1000+183
slaked; soaked; 1000000                 # p=0.995, r=0.557, 167+1000
slaked; soaked; 100000                  # p=0.996, r=0.615, 167+1000
slaked; soaked; 10000                   # p=0.994, r=0.692, 167+1000
slaked; soaked; 1000                    # p=0.992, r=0.755, 167+1000
slaking; soaking; 1000000               # p=0.998, r=0.404, 52+1000
slaking; soaking; 100000                # p=0.998, r=0.487, 52+1000
slaking; soaking; 10000                 # p=0.997, r=0.566, 52+1000
slaking; soaking; 1000                  # p=0.996, r=0.645, 52+1000
slang; slant; 1000000                   # p=0.993, r=0.142, 1000+1000
slates; slated; 1000000                 # p=0.999, r=0.539, 999+1000
slates; slated; 100000                  # p=0.999, r=0.603, 999+1000
slates; slated; 10000                   # p=0.999, r=0.663, 999+1000
slates; slated; 1000                    # p=0.998, r=0.733, 999+1000
slates; slated; 100                     # p=0.994, r=0.792, 999+1000
slays; slats; 1000000                   # p=0.997, r=0.394, 862+1000
slays; slats; 100000                    # p=0.998, r=0.459, 862+1000
slays; slats; 10000                     # p=0.998, r=0.525, 862+1000
slays; slats; 1000                      # p=0.998, r=0.578, 862+1000
slays; slats; 100                       # p=0.998, r=0.643, 862+1000
slays; slats; 10                        # p=0.996, r=0.743, 862+1000
sledged; sledges; 1000000               # p=1.000, r=0.440, 49+419
sledged; sledges; 100000                # p=1.000, r=0.524, 49+419
sledged; sledges; 10000                 # p=0.997, r=0.615, 49+419
sledged; sledges; 1000                  # p=0.997, r=0.690, 49+419
sledged; sledges; 100                   # p=0.997, r=0.759, 49+419
sliced; slices; 1000000                 # p=0.992, r=0.350, 1000+1000
sliced; slices; 100000                  # p=0.992, r=0.410, 1000+1000
slicer; slider; 100000                  # p=1.000, r=0.114, 376+1000
slicer; sliver; 1000000                 # p=1.000, r=0.305, 376+984
slicer; sliver; 100000                  # p=1.000, r=0.331, 376+984
slicer; sliver; 10000                   # p=0.996, r=0.371, 376+984
slices; slides; 1000000                 # p=0.991, r=0.111, 1000+999
slims; skims; 10000                     # p=0.991, r=0.109, 867+140
slims; skims; 1000                      # p=0.992, r=0.122, 867+140
slims; skims; 10                        # p=0.995, r=0.845, 867+140
slims; slums; 1000000                   # p=0.997, r=0.411, 867+1000
slims; slums; 100000                    # p=0.995, r=0.439, 867+1000
slims; slums; 10000                     # p=0.994, r=0.459, 867+1000
slims; slums; 1000                      # p=0.993, r=0.649, 867+1000
slims; slums; 100                       # p=0.993, r=0.663, 867+1000
slims; slums; 10                        # p=0.991, r=0.687, 867+1000
sling; slung; 1000000                   # p=0.991, r=0.272, 1000+957
slipping; slopping; 1000000             # p=0.995, r=0.366, 1000+59
slippy; sloppy; 1000000                 # p=0.993, r=0.216, 285+1000
slitting; slotting; 1000000             # p=1.000, r=0.211, 485+335
slitting; slotting; 100000              # p=1.000, r=0.261, 485+335
slitting; slotting; 10000               # p=0.992, r=0.315, 485+335
sloped; slopes; 1000000                 # p=0.992, r=0.445, 1000+1000
sloped; slopes; 100000                  # p=0.992, r=0.492, 1000+1000
slops; slips; 1000000                   # p=1.000, r=0.250, 70+1000
slops; slips; 100000                    # p=0.997, r=0.321, 70+1000
sloshed; sloshes; 10000                 # p=1.000, r=0.100, 50+20
sloth; sooth; 1000000                   # p=0.994, r=0.302, 1000+138
slot; slit; 1000000                     # p=1.000, r=0.187, 1000+1000
slot; slit; 100000                      # p=1.000, r=0.251, 1000+1000
slot; slit; 10000                       # p=1.000, r=0.303, 1000+1000
slot; slit; 1000                        # p=0.997, r=0.345, 1000+1000
slot; slit; 100                         # p=0.993, r=0.447, 1000+1000
slots; slits; 1000000                   # p=0.997, r=0.198, 1000+1000
slots; slits; 100000                    # p=0.998, r=0.243, 1000+1000
slots; slits; 10000                     # p=0.995, r=0.277, 1000+1000
slouched; slouches; 1000000             # p=1.000, r=0.278, 45+27
slouched; slouches; 100000              # p=1.000, r=0.306, 45+27
slows; sloes; 1000000                   # p=1.000, r=0.669, 1000+45
slows; sloes; 100000                    # p=1.000, r=0.718, 1000+45
slows; sloes; 10000                     # p=0.999, r=0.765, 1000+45
slows; sloes; 1000                      # p=0.995, r=0.799, 1000+45
slows; sloes; 100                       # p=0.994, r=0.839, 1000+45
slows; sloes; 10                        # p=0.991, r=0.873, 1000+45
sluiced; sluices; 1000000               # p=1.000, r=0.322, 51+580
sluiced; sluices; 100000                # p=1.000, r=0.398, 51+580
sluiced; sluices; 10000                 # p=1.000, r=0.493, 51+580
sluiced; sluices; 1000                  # p=1.000, r=0.601, 51+580
sluiced; sluices; 100                   # p=0.998, r=0.685, 51+580
sluiced; sluices; 10                    # p=0.991, r=0.827, 51+580
slum; slim; 1000000                     # p=0.996, r=0.137, 1000+1000
slum; slim; 100000                      # p=0.997, r=0.160, 1000+1000
slum; slim; 10000                       # p=0.997, r=0.183, 1000+1000
slur; slue; 1000000                     # p=0.994, r=0.470, 1000+43
slur; slue; 100000                      # p=0.995, r=0.553, 1000+43
slur; slue; 10000                       # p=0.996, r=0.639, 1000+43
slur; slue; 1000                        # p=0.996, r=0.696, 1000+43
slur; slue; 100                         # p=0.996, r=0.747, 1000+43
slur; slue; 10                          # p=0.997, r=0.824, 1000+43
slur; slut; 1000000                     # p=0.997, r=0.148, 1000+1000
slur; slut; 100000                      # p=0.995, r=0.206, 1000+1000
slur; sour; 1000000                     # p=0.998, r=0.306, 1000+999
slur; sour; 100000                      # p=0.996, r=0.349, 1000+999
slurs; sluts; 1000000                   # p=0.995, r=0.306, 1000+416
slurs; sluts; 100000                    # p=0.995, r=0.386, 1000+416
slurs; sluts; 10000                     # p=0.995, r=0.430, 1000+416
slurs; sours; 1000000                   # p=0.998, r=0.376, 1000+192
slurs; sours; 100000                    # p=0.998, r=0.470, 1000+192
slurs; sours; 10000                     # p=0.998, r=0.526, 1000+192
slurs; sours; 1000                      # p=0.996, r=0.600, 1000+192
slurs; sours; 100                       # p=0.992, r=0.664, 1000+192
sly; soy; 1000000                       # p=0.997, r=0.165, 1000+989
sly; soy; 100000                        # p=0.998, r=0.203, 1000+989
sly; soy; 10000                         # p=0.998, r=0.225, 1000+989
sly; soy; 1000                          # p=0.998, r=0.253, 1000+989
smacking; snacking; 1000000             # p=1.000, r=0.153, 321+143
smacking; snacking; 100000              # p=1.000, r=0.226, 321+143
smacking; snacking; 10000               # p=1.000, r=0.295, 321+143
smacking; snacking; 1000                # p=0.994, r=0.373, 321+143
smacking; snacking; 100                 # p=0.991, r=0.455, 321+143
smack; snack; 1000000                   # p=0.993, r=0.213, 1000+1000
smack; snack; 100000                    # p=0.994, r=0.238, 1000+1000
smacks; snacks; 1000000                 # p=0.997, r=0.302, 1000+1000
smacks; snacks; 100000                  # p=0.997, r=0.359, 1000+1000
smacks; snacks; 10000                   # p=0.997, r=0.466, 1000+1000
smacks; snacks; 1000                    # p=0.995, r=0.548, 1000+1000
smacks; snacks; 100                     # p=0.991, r=0.640, 1000+1000
smudged; smudges; 1000000               # p=1.000, r=0.110, 182+146
smudged; smudges; 100000                # p=1.000, r=0.152, 182+146
smuggled; snuggled; 1000000             # p=0.995, r=0.376, 1000+55
smuggled; snuggled; 100000              # p=0.996, r=0.467, 1000+55
smuggled; snuggled; 10000               # p=0.997, r=0.553, 1000+55
smuggle; snuggle; 1000000               # p=0.995, r=0.279, 1000+315
smuggle; snuggle; 100000                # p=0.994, r=0.351, 1000+315
smuggle; snuggle; 10000                 # p=0.995, r=0.438, 1000+315
smuggle; snuggle; 1000                  # p=0.994, r=0.502, 1000+315
smuggle; snuggle; 100                   # p=0.991, r=0.584, 1000+315
smugly; snugly; 1000000                 # p=1.000, r=0.375, 172+265
smugly; snugly; 100000                  # p=0.994, r=0.410, 172+265
smugly; snugly; 10000                   # p=0.995, r=0.462, 172+265
smugly; snugly; 1000                    # p=0.996, r=0.529, 172+265
smugly; snugly; 100                     # p=0.996, r=0.597, 172+265
smug; smut; 1000000                     # p=0.996, r=0.201, 681+684
smug; smut; 100000                      # p=0.994, r=0.240, 681+684
smug; smut; 10000                       # p=0.990, r=0.291, 681+684
snacks; shacks; 100000                  # p=0.991, r=0.167, 1000+965
snared; snares; 1000000                 # p=0.995, r=0.148, 261+999
snared; snares; 100000                  # p=0.996, r=0.198, 261+999
snared; snares; 10000                   # p=0.997, r=0.256, 261+999
sneer; sheer; 1000000                   # p=0.997, r=0.440, 323+995
sneer; sheer; 100000                    # p=0.997, r=0.474, 323+995
sneer; sheer; 10000                     # p=0.991, r=0.524, 323+995
sniffed; snuffed; 100000                # p=1.000, r=0.145, 168+198
sniffed; snuffed; 10000                 # p=0.990, r=0.273, 168+198
sniffing; snuffing; 1000000             # p=1.000, r=0.199, 998+49
sniffing; snuffing; 100000              # p=0.996, r=0.245, 998+49
sniffing; snuffing; 10000               # p=0.997, r=0.309, 998+49
sniffing; snuffing; 1000                # p=0.995, r=0.388, 998+49
sniffing; snuffing; 100                 # p=0.994, r=0.490, 998+49
sniff; snuff; 100000                    # p=0.992, r=0.119, 1000+1000
sniff; snuff; 10000                     # p=0.994, r=0.162, 1000+1000
sniff; snuff; 1000                      # p=0.991, r=0.216, 1000+1000
snoring; shoring; 1000000               # p=0.995, r=0.186, 602+381
snoring; shoring; 100000                # p=0.996, r=0.262, 602+381
snoring; shoring; 10000                 # p=0.997, r=0.339, 602+381
snoring; shoring; 1000                  # p=0.995, r=0.426, 602+381
snoring; shoring; 100                   # p=0.992, r=0.493, 602+381
soared; spared; 1000000                 # p=0.994, r=0.513, 1000+1000
soared; spared; 100000                  # p=0.995, r=0.578, 1000+1000
soared; spared; 10000                   # p=0.995, r=0.645, 1000+1000
soared; spared; 1000                    # p=0.995, r=0.708, 1000+1000
soared; spared; 100                     # p=0.994, r=0.766, 1000+1000
soared; spared; 10                      # p=0.993, r=0.820, 1000+1000
sobs; dobs; 100000                      # p=0.990, r=0.438, 388+78
socialized; socializes; 1000000         # p=0.998, r=0.414, 1000+80
socialized; socializes; 100000          # p=0.998, r=0.461, 1000+80
socialized; socializes; 10000           # p=0.995, r=0.520, 1000+80
sodas; sofas; 100000                    # p=0.992, r=0.120, 520+526
softer; sifter; 1000000                 # p=0.996, r=0.511, 1000+93
softer; sifter; 100000                  # p=0.994, r=0.574, 1000+93
softer; sifter; 10000                   # p=0.994, r=0.625, 1000+93
softer; sorter; 1000000                 # p=0.996, r=0.370, 1000+430
softer; sorter; 100000                  # p=0.997, r=0.434, 1000+430
softer; sorter; 10000                   # p=0.992, r=0.492, 1000+430
softies; sorties; 100000                # p=0.992, r=0.358, 79+1000
soft; sort; 1000000                     # p=0.999, r=0.502, 995+997
soft; sort; 100000                      # p=0.999, r=0.542, 995+997
soft; sort; 10000                       # p=0.998, r=0.573, 995+997
soft; sort; 1000                        # p=0.994, r=0.614, 995+997
soil; soul; 1000000                     # p=0.996, r=0.128, 998+986
soil; soul; 100000                      # p=0.993, r=0.152, 998+986
soil; soul; 10000                       # p=0.992, r=0.182, 998+986
soil; soul; 1000                        # p=0.991, r=0.223, 998+986
soils; souls; 1000000                   # p=0.998, r=0.221, 1000+994
soils; souls; 100000                    # p=0.994, r=0.257, 1000+994
soils; souls; 10000                     # p=0.995, r=0.316, 1000+994
soils; souls; 1000                      # p=0.994, r=0.384, 1000+994
soils; souls; 100                       # p=0.992, r=0.473, 1000+994
sold; sole; 1000000                     # p=0.999, r=0.545, 1000+1000
sold; sole; 100000                      # p=0.999, r=0.602, 1000+1000
sold; sole; 10000                       # p=0.999, r=0.656, 1000+1000
sold; sole; 1000                        # p=0.999, r=0.683, 1000+1000
sold; sole; 100                         # p=0.999, r=0.715, 1000+1000
sold; sole; 10                          # p=0.995, r=0.743, 1000+1000
soled; doled; 1000000                   # p=1.000, r=0.790, 259+180
soled; doled; 100000                    # p=1.000, r=0.836, 259+180
soled; doled; 10000                     # p=1.000, r=0.866, 259+180
soled; doled; 1000                      # p=1.000, r=0.904, 259+180
soled; doled; 100                       # p=0.995, r=0.929, 259+180
soled; doled; 10                        # p=0.995, r=0.964, 259+180
soled; doled; 10                        # p=0.993, r=0.966, 259+180
soled; soles; 1000000                   # p=0.997, r=0.482, 260+1000
soled; soles; 100000                    # p=0.995, r=0.518, 260+1000
soled; soles; 10000                     # p=0.996, r=0.584, 260+1000
soled; soles; 1000                      # p=0.994, r=0.629, 260+1000
soled; soles; 100                       # p=0.993, r=0.691, 260+1000
soles; doles; 1000000                   # p=0.992, r=0.289, 1000+257
soles; doles; 100000                    # p=0.993, r=0.337, 1000+257
soling; doling; 1000                    # p=0.991, r=0.173, 452+161
soling; doling; 100                     # p=0.991, r=0.186, 452+161
solves; wolves; 1000000                 # p=0.993, r=0.404, 1000+993
solves; wolves; 100000                  # p=0.994, r=0.508, 1000+993
solves; wolves; 10000                   # p=0.995, r=0.580, 1000+993
solves; wolves; 1000                    # p=0.995, r=0.656, 1000+993
solves; wolves; 100                     # p=0.994, r=0.712, 1000+993
solves; wolves; 10                      # p=0.991, r=0.804, 1000+993
sophisticated; sophisticates; 1000000   # p=0.994, r=0.504, 997+52
sophisticated; sophisticates; 100000    # p=0.993, r=0.546, 997+52
sophisticated; sophisticates; 10000     # p=0.991, r=0.662, 997+52
sophisticated; sophisticates; 1000      # p=0.991, r=0.702, 997+52
sorry; worry; 1000000                   # p=0.997, r=0.347, 996+998
sorry; worry; 100000                    # p=0.996, r=0.391, 996+998
sorry; worry; 10000                     # p=0.995, r=0.440, 996+998
sorts; sorta; 1000000                   # p=0.991, r=0.527, 1000+805
sots; dots; 1000000                     # p=0.992, r=0.488, 81+1000
sots; dots; 100000                      # p=0.992, r=0.553, 81+1000
sounder; wounder; 1000                  # p=0.990, r=0.491, 799+24
sounder; wounder; 100                   # p=0.992, r=0.578, 799+24
sounds; wounds; 1000000                 # p=0.994, r=0.309, 997+999
sound; wound; 100000                    # p=0.991, r=0.165, 959+998
sower; dower; 1000000                   # p=0.993, r=0.198, 411+1000
sower; dower; 100000                    # p=0.994, r=0.236, 411+1000
sower; dower; 10000                     # p=0.995, r=0.264, 411+1000
sower; dower; 1000                      # p=0.993, r=0.307, 411+1000
spaced; spaces; 1000000                 # p=0.992, r=0.431, 999+1000
spangled; spangles; 1000000             # p=0.997, r=0.552, 1000+173
spangled; spangles; 100000              # p=0.995, r=0.558, 1000+173
spangled; spangles; 10000               # p=0.992, r=0.657, 1000+173
spangled; spangles; 1000                # p=0.992, r=0.663, 1000+173
spared; spares; 1000000                 # p=0.990, r=0.362, 1000+1000
spared; spares; 100000                  # p=0.990, r=0.414, 1000+1000
sparing; soaring; 1000000               # p=0.998, r=0.255, 1000+1000
sparing; soaring; 100000                # p=0.998, r=0.303, 1000+1000
sparing; soaring; 10000                 # p=0.997, r=0.365, 1000+1000
sparing; soaring; 1000                  # p=0.994, r=0.415, 1000+1000
spar; soar; 1000000                     # p=0.997, r=0.156, 999+1000
spar; soar; 100000                      # p=0.997, r=0.195, 999+1000
spars; soars; 1000000                   # p=0.992, r=0.232, 997+570
spars; soars; 100000                    # p=0.994, r=0.299, 997+570
spate; spare; 1000000                   # p=0.998, r=0.468, 1000+998
spate; spare; 100000                    # p=0.996, r=0.564, 1000+998
spate; spare; 10000                     # p=0.995, r=0.618, 1000+998
spate; spare; 1000                      # p=0.995, r=0.729, 1000+998
spates; spares; 1000000                 # p=1.000, r=0.337, 52+1000
spates; spares; 100000                  # p=1.000, r=0.414, 52+1000
spates; spares; 10000                   # p=1.000, r=0.509, 52+1000
spates; spares; 1000                    # p=1.000, r=0.570, 52+1000
spates; spares; 100                     # p=1.000, r=0.644, 52+1000
spates; spares; 10                      # p=0.996, r=0.726, 52+1000
spay; spat; 1000000                     # p=0.992, r=0.374, 332+1000
spay; spat; 100000                      # p=0.992, r=0.450, 332+1000
spay; spat; 10000                       # p=0.992, r=0.533, 332+1000
specialized; specializes; 1000000       # p=0.990, r=0.207, 1000+1000
spec; sped; 100000                      # p=0.991, r=0.366, 1000+1000
sped; aped; 1000000                     # p=1.000, r=0.621, 1000+66
sped; aped; 100000                      # p=0.997, r=0.653, 1000+66
sped; aped; 10000                       # p=0.997, r=0.705, 1000+66
sped; aped; 1000                        # p=0.996, r=0.719, 1000+66
