# Mapping en-US <-> en-GB. The spell checker will *not* use this file to decide
# which words are correct, but only to display a more specific error message in case
# a user writing an en-US text uses a en-GB word and vice versa.
absolutize;absolutise
simonized;simonised
simonizes;simonises
simonizing;simonising
singularize;singularise
singularized;singularised
singularizes;singularises
singularizing;singularising
Sinicization;Sinicisation
sinicize;sinicise
sinicized;sinicised
sinicizes;sinicises
sinicizing;sinicising
skeletonize;skeletonise
skeletonized;skeletonised
skeletonizes;skeletonises
skeletonizing;skeletonising
skeptic;sceptic
skeptical;sceptical
skeptically;sceptically
skeptics;sceptics
skepticism;scepticism
skillful;skilful
skillfully;skilfully
slenderize;slenderise
slenderized;slenderised
slenderizes;slenderises
slenderizing;slenderising
sloganize;sloganise
sloganized;sloganised
sloganizes;sloganises
sloganizing;sloganising
smelled;smelt
smolder;smoulder
smoldered;smouldered
smoldering;smouldering
smolders;smoulders
sniveled;snivelled
sniveler;sniveller
sniveling;snivelling
snuck;sneaked
socializable;socialisable
socialization;socialisation
socialize;socialise
socialized;socialised
socializer;socialiser
socializers;socialisers
socializes;socialises
socializing;socialising
sociologize;sociologise
sociologized;sociologised
sociologizes;sociologises
sociologizing;sociologising
sodomize;sodomise
sodomized;sodomised
sodomizes;sodomises
sodomizing;sodomising
solarize;solarise
solarized;solarised
solarizes;solarises
solarizing;solarising
solecize;solecise
solecized;solecised
solecizes;solecises
solecizing;solecising
solemnization;solemnisation
solemnize;solemnise
solemnized;solemnised
solemnizes;solemnises
solemnizing;solemnising
soliloquize;soliloquise
soliloquized;soliloquised
soliloquizes;soliloquises
soliloquizing;soliloquising
solubilization;solubilisation
solubilize;solubilise
solubilized;solubilised
solubilizes;solubilises
solubilizing;solubilising
somatize;somatise
somatized;somatised
somatizes;somatises
somatizing;somatising
somber;sombre
sovietization;sovietisation
sovietize;sovietise
sovietized;sovietised
sovietizes;sovietises
sovietizing;sovietising
spatialize;spatialise
spatialized;spatialised
spatializes;spatialises
spatializing;spatialising
specialization;specialisation
specializations;specialisations
specialize;specialise
specialized;specialised
specializes;specialises
specializing;specialising
specialties;specialities
specialty;speciality
specter;spectre
spelled;spelt
spheroidization;spheroidisation
spheroidize;spheroidise
spheroidized;spheroidised
spheroidizes;spheroidises
spheroidizing;spheroidising
spilled;spilt
spiralize;spiralise
spiralized;spiralised
spiralizes;spiralises
spiralizing;spiralising
spiritualize;spiritualise
spiritualized;spiritualised
spiritualizer;spiritualiser
spiritualizers;spiritualisers
spiritualizes;spiritualises
spiritualizing;spiritualising
splendor;splendour
splendors;splendours
splenectomize;splenectomise
splenectomized;splenectomised
splenectomizes;splenectomises
splenectomizing;splenectomising
spoiled;spoilt
stabilization;stabilisation
stabilize;stabilise
stabilized;stabilised
stabilizer;stabiliser
stabilizers;stabilisers
stabilizes;stabilises
stabilizing;stabilising
standardizable;standardisable
standardization;standardisation
standardize;standardise
standardized;standardised
standardizer;standardiser
standardizers;standardisers
standardizes;standardises
standardizing;standardising
sterilizable;sterilisable
sterilization;sterilisation
sterilizations;sterilisations
sterilize;sterilise
sterilized;sterilised
sterilizer;steriliser
sterilizers;sterilisers
sterilizes;sterilises
sterilizing;sterilising
stigmatization;stigmatisation
stigmatize;stigmatise
stigmatized;stigmatised
stigmatizes;stigmatises
stigmatizing;stigmatising
storefront;shopfront
storefronts;shopfronts
stories;storeys
story;storey
strategize;strategise
strategized;strategised
strategizes;strategises
strategizing;strategising
structuralize;structuralise
structuralized;structuralised
structuralizes;structuralises
structuralizing;structuralising
stylize;stylise
stylized;stylised
stylizes;stylises
stylizing;stylising
subcategorization;subcategorisation
subcategorizations;subcategorisations
subcategorize;subcategorise
subcategorized;subcategorised
subcategorizes;subcategorises
subcategorizing;subcategorising
suberize;suberise
suberized;suberised
suberizes;suberises
suberizing;suberising
subjectivization;subjectivisation
subjectivize;subjectivise
subjectivized;subjectivised
subjectivizes;subjectivises
subjectivizing;subjectivising
sublicense;sublicence
sub-license;sub-licence
sublicensed;sublicenced
sub-licensed;sub-licenced
sublicensing;sublicencing
sub-licensing;sub-licencing
sublicenses;sublicences
sub-licenses;sub-licences
sublimize;sublimise
sublimized;sublimised
sublimizes;sublimises
sublimizing;sublimising
suboptimization;suboptimisation
suboptimize;suboptimise
suboptimized;suboptimised
suboptimizes;suboptimises
suboptimizing;suboptimising
subsidizable;subsidisable
subsidization;subsidisation
subsidize;subsidise
subsidized;subsidised
subsidizer;subsidiser
subsidizers;subsidisers
subsidizes;subsidises
subsidizing;subsidising
subspecialize;subspecialise
subspecialized;subspecialised
subspecializes;subspecialises
subspecializing;subspecialising
substantialize;substantialise
substantialized;substantialised
substantializes;substantialises
substantializing;substantialising
subtilize;subtilise
subtilized;subtilised
subtilizer;subtiliser
subtilizers;subtilisers
subtilizes;subtilises
subtilizing;subtilising
subtotaling;subtotalling
subtotaled;subtotalled
suburbanization;suburbanisation
suburbanize;suburbanise
suburbanized;suburbanised
suburbanizes;suburbanises
suburbanizing;suburbanising
subvocalization;subvocalisation
subvocalize;subvocalise
subvocalized;subvocalised
subvocalizes;subvocalises
subvocalizing;subvocalising
succor;succour
succors;succours
succored;succoured
succoring;succouring
succorer;succourer
succorers;succourers
sulfate;sulphate
sulfates;sulphates
sulfide;sulphide
sulfides;sulphides
sulfur;sulphur
sulfuric;sulphuric
sulfurous;sulphurous
sulfurization;sulphurisation
sulfurization;sulphurization
sulfurize;sulphurize
sulfurized;sulphurized
sulfurizes;sulphurizes
sulfurizing;sulphurizing
sulfurs;sulphurs
summarizable;summarisable
summarize;summarise
summarized;summarised
summarizer;summariser
summarizers;summarisers
summarizes;summarises
summarizing;summarising
sunburned;sunburnt
superficialize;superficialise
superficialized;superficialised
superficializes;superficialises
superficializing;superficialising
syllogization;syllogisation
syllogize;syllogise
syllogized;syllogised
syllogizes;syllogises
syllogizing;syllogising
symboled;symbolled
symboling;symbolling
symbolization;symbolisation
symbolize;symbolise
symbolized;symbolised
symbolizer;symboliser
symbolizers;symbolisers
symbolizes;symbolises
symbolizing;symbolising
symmetrize;symmetrise
symmetrized;symmetrised
symmetrizes;symmetrises
symmetrizing;symmetrising
sympathize;sympathise
sympathized;sympathised
sympathizer;sympathiser
sympathizers;sympathisers
sympathizes;sympathises
sympathizing;sympathising
synchronization;synchronisation
synchronizations;synchronisations
synchronize;synchronise
synchronized;synchronised
synchronizer;synchroniser
synchronizers;synchronisers
synchronizes;synchronises
synchronizing;synchronising
syncretize;syncretise
syncretized;syncretised
syncretizes;syncretises
syncretizing;syncretising
synergize;synergise
synergized;synergised
synergizes;synergises
synergizing;synergising
synesthesia;synaesthesia
synesthete;synaesthete
synesthetes;synaesthetes
synonymize;synonymise
synonymized;synonymised
synonymizes;synonymises
synonymizing;synonymising
synopsize;synopsise
synopsized;synopsised
synopsizes;synopsises
synopsizing;synopsising
synthesize;synthesise
synthesized;synthesised
synthesizer;synthesiser
synthesizers;synthesisers
synthesizes;synthesises
synthesizing;synthesising
syntonize;syntonise
syntonized;syntonised
syntonizes;syntonises
syntonizing;syntonising
systematization;systematisation
systematize;systematise
systematized;systematised
systematizer;systematiser
systematizers;systematisers
systematizes;systematises
systematizing;systematising
tantalization;tantalisation
tantalize;tantalise
tantalized;tantalised
tantalizer;tantaliser
tantalizers;tantalisers
tantalizes;tantalises
tantalizing;tantalising
tartarize;tartarise
tartarized;tartarised
tartarizes;tartarises
tartarizing;tartarising
tautomerize;tautomerise
tautomerized;tautomerised
tautomerizes;tautomerises
tautomerizing;tautomerising
technicize;technicise
technicized;technicised
technicizes;technicises
technicizing;technicising
technologize;technologise
technologized;technologised
technologizes;technologises
technologizing;technologising
telepathize;telepathise
telepathized;telepathised
telepathizes;telepathises
telepathizing;telepathising
temporization;temporisation
temporize;temporise
temporized;temporised
temporizes;temporises
temporizing;temporising
tenderize;tenderise
tenderized;tenderised
tenderizer;tenderiser
tenderizers;tenderisers
tenderizes;tenderises
tenderizing;tenderising
teragram;teragramme
teragrams;teragrammes
teraliter;teralitre
teraliters;teralitres
terameter;terametre
terameters;terametres
territorialize;territorialise
territorialized;territorialised
territorializes;territorialises
territorializing;territorialising
terrorize;terrorise
terrorized;terrorised
terrorizer;terroriser
terrorizers;terrorisers
terrorizes;terrorises
terrorizing;terrorising
testimonialize;testimonialise
testimonialized;testimonialised
testimonializes;testimonialises
testimonializing;testimonialising
tetanization;tetanisation
tetanize;tetanise
tetanized;tetanised
tetanizes;tetanises
tetanizing;tetanising
Teutonization;Teutonisation
Teutonize;Teutonise
Teutonized;Teutonised
Teutonizes;Teutonises
Teutonizing;Teutonising
texturize;texturise
texturized;texturised
texturizes;texturises
texturizing;texturising
theater;theatre
theaters;theatres
theatricalize;theatricalise
theatricalized;theatricalised
theatricalizes;theatricalises
theatricalizing;theatricalising
thematize;thematise
thematized;thematised
thematizes;thematises
thematizing;thematising
theologize;theologise
theologized;theologised
theologizer;theologiser
theologizers;theologisers
theologizes;theologises
theologizing;theologising
theorize;theorise
theorized;theorised
theorizer;theoriser
theorizers;theorisers
theorizes;theorises
theorizing;theorising
thermalization;thermalisation
thermalize;thermalise
thermalized;thermalised
thermalizes;thermalises
thermalizing;thermalising
thymectomize;thymectomise
thymectomized;thymectomised
thymectomizes;thymectomises
thymectomizing;thymectomising
time-honored;time-honoured
tire;tyre
tires;tyres
tokenize;tokenise
tokenized;tokenised
tokenizes;tokenises
tokenizing;tokenising
totaled;totalled
totaling;totalling
totalizator;totalisator
totalizators;totalisators
totalize;totalise
totalized;totalised
totalizes;totalises
totalizing;totalising
toweled;towelled
toweling;towelling
tracheoesophageal;tracheo-oesophageal
tranquilize;tranquillize
tranquilized;tranquillized
tranquilizes;tranquillizes
tranquilizing;tranquillizing
transistorize;transistorise
transistorized;transistorised
transistorizes;transistorises
transistorizing;transistorising
traumatize;traumatise
traumatized;traumatised
traumatizes;traumatises
traumatizing;traumatising
traveled;travelled
traveler;traveller
travelers;travellers
traveling;travelling
trialing;trialling
trialed;trialled
trichinize;trichinise
trichinized;trichinised
trichinizes;trichinises
trichinizing;trichinising
trivialization;trivialisation
trivialize;trivialise
trivialized;trivialised
trivializes;trivialises
trivializing;trivialising
tropicalization;tropicalisation
tropicalize;tropicalise
tropicalized;tropicalised
tropicalizes;tropicalises
tropicalizing;tropicalising
trypsinize;trypsinise
trypsinized;trypsinised
trypsinizes;trypsinises
trypsinizing;trypsinising
tumor;tumour
tumors;tumours
tunneling;tunnelling
tunneled;tunnelled
tyrannize;tyrannise
tyrannized;tyrannised
tyrannizes;tyrannises
tyrannizing;tyrannising
unappetizing;unappetising
unauthorized;unauthorised
uncapitalized;uncapitalised
uncategorizable;uncategorisable
uncivilized;uncivilised
uncrystallized;uncrystallised
underemphasize;underemphasise
underemphasized;underemphasised
underemphasizes;underemphasises
underemphasizing;underemphasising
underrepresent;under-represent
underrepresents;under-represents
underrepresented;under-represented
underrepresenting;under-representing
underrepresentation;under-representation
underrepresentations;under-representations
underutilization;underutilisation
underutilize;underutilise
underutilized;underutilised
underutilizes;underutilises
underutilizing;underutilising
unfavorable;unfavourable
unflexible;inflexible
uniformization;uniformisation
uniformize;uniformise
uniformized;uniformised
uniformizes;uniformises
uniformizing;uniformising
unionization;unionisation
unionize;unionise
unionized;unionised
unionizes;unionises
unionizing;unionising
unitization;unitisation
unitize;unitise
unitized;unitised
unitizes;unitises
unitizing;unitising
universalization;universalisation
universalize;universalise
universalized;universalised
universalizes;universalises
universalizing;universalising
unlabeled;unlabelled
unlabored;unlaboured
unpolarizable;unpolarisable
unrealizable;unrealisable
unrecognizable;unrecognisable
unrecognizably;unrecognisably
unrecognized;unrecognised
unsavory;unsavoury
unsocialized;unsocialised
unshakable;unshakeable
unspecialized;unspecialised
unstandardized;unstandardised
unsynchronized;unsynchronised
unverbalized;unverbalised
uralitize;uralitise
uralitized;uralitised
uralitizes;uralitises
uralitizing;uralitising
urbanization;urbanisation
urbanize;urbanise
urbanized;urbanised
urbanizes;urbanises
urbanizing;urbanising
utilizable;utilisable
utilization;utilisation
utilize;utilise
utilized;utilised
utilizer;utiliser
utilizers;utilisers
utilizes;utilises
utilizing;utilising
utopianize;utopianise
utopianized;utopianised
utopianizes;utopianises
utopianizing;utopianising
valor;valour
valorization;valorisation
valorize;valorise
valorized;valorised
valorizes;valorises
valorizing;valorising
vampirize;vampirise
vampirized;vampirised
vampirizes;vampirises
vampirizing;vampirising
vandalize;vandalise
vandalized;vandalised
vandalizes;vandalises
vandalizing;vandalising
vapor;vapour
vaporware;vapourware
vaporwares;vapourwares
vaporizable;vaporisable
vaporization;vaporisation
vaporize;vaporise
vaporized;vaporised
vaporizer;vaporiser
vaporizers;vaporisers
vaporizes;vaporises
vaporizing;vaporising
vapors;vapours
vascularize;vascularise
vascularized;vascularised
vascularizes;vascularises
vascularizing;vascularising
vasectomize;vasectomise
vasectomized;vasectomised
vasectomizes;vasectomises
vasectomizing;vasectomising
vassalize;vassalise
vassalized;vassalised
vassalizes;vassalises
vassalizing;vassalising
vectorization;vectorisation
vectorize;vectorise
vectorized;vectorised
vectorizes;vectorises
vectorizing;vectorising
ventriloquize;ventriloquise
ventriloquized;ventriloquised
ventriloquizes;ventriloquises
ventriloquizing;ventriloquising
verbalizable;verbalisable
verbalization;verbalisation
verbalize;verbalise
verbalized;verbalised
verbalizer;verbaliser
verbalizers;verbalisers
verbalizes;verbalises
verbalizing;verbalising
vernacularize;vernacularise
vernacularized;vernacularised
vernacularizes;vernacularises
vernacularizing;vernacularising
vernalize;vernalise
vernalized;vernalised
vernalizes;vernalises
vernalizing;vernalising
verticalization;verticalisation
verticalize;verticalise
victimization;victimisation
victimize;victimise
victimized;victimised
victimizer;victimiser
victimizers;victimisers
victimizes;victimises
victimizing;victimising
Vietnamization;Vietnamisation
vigor;vigour
virilization;virilisation
virilize;virilise
virilized;virilised
virilizes;virilises
virilizing;virilising
virtualization;virtualisation
vise;vice
vises;vices
visualizable;visualisable
visualization;visualisation
visualizations;visualisations
visualize;visualise
visualized;visualised
visualizer;visualiser
visualizers;visualisers
visualizes;visualises
visualizing;visualising
vitalization;vitalisation
vitalize;vitalise
vitalized;vitalised
vitalizer;vitaliser
vitalizers;vitalisers
vitalizes;vitalises
vitalizing;vitalising
vitriolization;vitriolisation
vocalization;vocalisation
vocalizations;vocalisations
vocalize;vocalise
vocalized;vocalised
vocalizer;vocaliser
vocalizers;vocalisers
vocalizes;vocalises
vocalizing;vocalising
vocationalize;vocationalise
vocationalized;vocationalised
vocationalizes;vocationalises
vocationalizing;vocationalising
volatilizable;volatilisable
volatilization;volatilisation
volatilize;volatilise
volatilized;volatilised
volatilizes;volatilises
volatilizing;volatilising
volcanize;volcanise
volcanized;volcanised
volcanizes;volcanises
volcanizing;volcanising
volumize;volumise
volumized;volumised
volumizes;volumises
volumizing;volumising
vowelize;vowelise
vowelized;vowelised
vowelizes;vowelises
vowelizing;vowelising
vulcanization;vulcanisation
vulcanize;vulcanise
vulcanized;vulcanised
vulcanizer;vulcaniser
vulcanizers;vulcanisers
vulcanizes;vulcanises
vulcanizing;vulcanising
vulgarization;vulgarisation
vulgarize;vulgarise
vulgarized;vulgarised
vulgarizer;vulgariser
vulgarizers;vulgarisers
vulgarizes;vulgarises
vulgarizing;vulgarising
watercolor;watercolour
watercolored;watercoloured
watercoloring;watercolouring
watercolors;watercolours
weaponize;weaponise
weaponized;weaponised
weaponizes;weaponises
weaponizing;weaponising
weatherize;weatherise
weatherized;weatherised
weatherizes;weatherises
weatherizing;weatherising
well-organized;well-organised
well-favoredness;well-favouredness
westernization;westernisation
westernize;westernise
westernized;westernised
westernizes;westernises
westernizing;westernising
whiskey;whisky
willful;wilful
willfully;wilfully
willfulness;wilfulness
womanize;womanise
womanized;womanised
womanizer;womaniser
womanizers;womanisers
womanizes;womanises
womanizing;womanising
wooly;woolly
worshiped;worshipped
worshiper;worshipper
worshipers;worshippers
worshiping;worshipping
yoctogram;yoctogramme
yoctograms;yoctogrammes
yoctoliter;yoctolitre
yoctoliters;yoctolitres
yoctometer;yoctometre
yoctometers;yoctometres
yogurt;yoghurt
yottagram;yottagramme
yottagrams;yottagrammes
yottaliter;yottalitre
yottaliters;yottalitres
yottameter;yottametre
yottameters;yottametres
zeptoliter;zeptolitre
zeptoliters;zeptolitres
zeptometer;zeptometre
zeptometers;zeptometres
zettaliter;zettalitre
zettaliters;zettalitres
zettameter;zettametre
zettameters;zettametres
untick;deselect
unticked;deselected
unticks;deselects
unticking;deselecting
hemostasis;haemostasis
hyperemia;hyperaemia
hyperemic;hyperaemic
peach-colored;peach-coloured
rust-colored;rust-coloured
recenter;recentre
recenters;recentres
recentering;recentring
recentered;recentred
person-centered;person-centred
color-code;colour-code
color-codes;colour-codes
color-coding;colour-coding
color-coded;colour-coded
labor-intensive;labour-intensive
groyne;groin
groynes;groins
microbusses;microbuses
hematemesis;haematemesis
uncanceled;uncancelled
uncanceling;uncancelling
corbeling;corbelling
corbeled;corbelled
armory;armoury
armories;armouries
color-sensitive;colour-sensitive
sideways;edgeways
curbside;kerbside
assertible;assertable
collapsible;collapsable
duplicatable;duplicable
uncollectible;uncollectable
unextinguishable;inextinguishable
unlovable;unloveable
bicolor;bicolour
bicolored;bicoloured
pedomorphic;paedomorphic
dueled;duelled
dueling;duelling
user-centered;user-centred
customer-centered;customer-centred
humorless;humourless
humorlessly;humourlessly
personalization;personalisation
non-personalized;non-personalised
saber-rattling;sabre-rattling
thiosulfate;thiosulphate
clamor;clamour
clamors;clamours
center-back;centre-back
center-section;centre-section
one-liter;one-litre
two-liter;two-litre
three-liter;three-litre
four-liter;four-litre
five-liter;five-litre
six-liter;six-litre
seven-liter;seven-litre
eight-liter;eight-litre
nine-liter;nine-litre
ten-liter;ten-lite
ronnameter;ronnametre
ronnameters;ronnametres
rontometer;rontometre
rontometers;rontometres
quettameter;quettametre
quettameters;quettametres
quectometer;quectometre
quectometers;quectometres
unraveling;unravelling
ronnaliter;ronnalitre
ronnaliters;ronnalitres
rontoliter;rontolitre
rontoliters;rontolitres
quettaliter;quettalitre
quettaliters;quettalitres
quectoliter;quectolitre
quectoliters;quectolitres
laser-focused;laser-focussed
colorings;colourings
brokerage;broking
calisthenics;callisthenics
