yon	yon	DT
politicisation	politicisation	NN
post-election	post-election	JJ
post-transfusion	post-transfusion	JJ
post-transplantation	post-transplantation	JJ
postabortion	postabortion	JJ
postacquisition	postacquisition	JJ
postadoption	postadoption	JJ
postconvention	postconvention	JJ
postflotation	postflotation	JJ
postinfarction	postinfarction	JJ
postinfusion	postinfusion	JJ
postintervention	postintervention	JJ
postinvasion	postinvasion	JJ
postoperation	postoperation	JJ
postprivatisation	postprivatisation	JJ
postrecession	postrecession	JJ
posttermination	posttermination	JJ
postvaccination	postvaccination	JJ
powerstation	powerstation	NN
pre-acquisition	pre-acquisition	JJ
pre-election	pre-election	JJ
preauction	preauction	JJ
precompetition	precompetition	JJ
predeliction	predeliction	NN
preflotation	preflotation	JJ
preimplantation	preimplantation	JJ
preincubation	preincubation	JJ
preinvasion	preinvasion	JJ
prerecession	prerecession	JJ
prerevolution	prerevolution	JJ
pretelevision	pretelevision	JJ
pretransfusion	pretransfusion	JJ
pretransplantation	pretransplantation	JJ
prioritisation	prioritisation	NN
prolegalisation	prolegalisation	NN
pseudoobstruction	pseudoobstruction	NN
quartermillion	quartermillion	NN
radioimmunoprecipitation	radioimmunoprecipitation	NN
rasterisation	rasterisation	NN
re-election	re-election	NN
re-evaluation	re-evaluation	NN
reacceleration	reacceleration	NN
recanalisation	recanalisation	NN
recapitalisation	recapitalisation	NN
regionalisation	regionalisation	NN
reinfarction	reinfarction	NN
renationalisation	renationalisation	NN
renumeration	renumeration	NN
reocclusion	reocclusion	NN
reperfusion	reperfusion	NN
repolarisation	repolarisation	NN
revascularisation	revascularisation	NN
salinisation	salinisation	NN
science-fiction	science-fiction	NN
second-generation	second-generation	NN
securitisation	securitisation	NN
self-actualisation	self-actualisation	NN
self-affirmation	self-affirmation	NN
self-denigration	self-denigration	NN
self-description	self-description	NN
self-dramatisation	self-dramatisation	NN
self-exploration	self-exploration	NN
self-medication	self-medication	NN
self-motivation	self-motivation	NN
self-promotion	self-promotion	NN
self-regulation	self-regulation	NN
self-selection	self-selection	NN
semistarvation	semistarvation	NN
six-nation	six-nation	JJ
somatisation	somatisation	NN
squillion	squillion	NN
subspecialisation	subspecialisation	NN
sulphoxidation	sulphoxidation	NN
tabloidisation	tabloidisation	NN
thermodilution	thermodilution	NN
third-generation	third-generation	NN
tribution	tribution	NN
underutilisation	underutilisation	NN
up-regulation	up-regulation	NN
virtualisation	virtualisation	NN
waystation	waystation	NN
weaponisation	weaponisation	NN
x-irradiation	x-irradiation	NN
yuppification	yuppification	NN
above-average	above-average	JJ
above-cited	above-cited	JJ
above-described	above-described	JJ
above-listed	above-listed	JJ
above-noted	above-noted	JJ
above-referenced	above-referenced	JJ
agri-tourism	agri-tourism	NN
anti-communism	anti-communism	NN
antiwesternism	antiwesternism	NN
cognitivism	cognitivism	NN
consequentialism	consequentialism	NN
contextualism	contextualism	NN
declinism	declinism	NN
democratism	democratism	NN
ecofeminism	ecofeminism	NN
featurism	featurism	NN
foundationalism	foundationalism	NN
herbalism	herbalism	NN
hyperandrogenism	hyperandrogenism	NN
laddism	laddism	NN
managerialism	managerialism	NN
neoimperialism	neoimperialism	NN
panhypopituitarism	panhypopituitarism	NN
post-modernism	post-modernism	NN
poststructuralism	poststructuralism	NN
termism	termism	NN
antidevelopment	antidevelopment	JJ
antienvironment	antienvironment	JJ
antiestablishment	antiestablishment	JJ
antiharassment	antiharassment	JJ
asset-management	asset-management	NN
biocontainment	biocontainment	NN
codevelopment	codevelopment	NN
coinvestment	coinvestment	NN
cost-containment	cost-containment	NN
document-management	document-management	NN
early-retirement	early-retirement	NN
enablement	enablement	NN
expungement	expungement	NN
home-improvement	home-improvement	NN
hyperdocument	hyperdocument	NN
intergovernment	intergovernment	NN
law-enforcement	law-enforcement	NN
money-management	money-management	NN
multielement	multielement	JJ
neurodevelopment	neurodevelopment	NN
non-government	non-government	NN
nonfulfilment	nonfulfilment	NN
noninfringement	noninfringement	NN
over-allotment	over-allotment	NN
post-retirement	post-retirement	JJ
post-treatment	post-treatment	JJ
pre-employment	pre-employment	JJ
pre-treatment	pre-treatment	JJ
prodevelopment	prodevelopment	JJ
proenvironment	proenvironment	JJ
proestablishment	proestablishment	JJ
provement	provement	NN
re-employment	re-employment	NN
re-enactment	re-enactment	NN
regroupment	regroupment	NN
retreatment	retreatment	NN
self-assessment	self-assessment	NN
self-containment	self-containment	NN
self-fulfilment	self-fulfilment	NN
self-management	self-management	NN
sewage-treatment	sewage-treatment	NN
underascertainment	underascertainment	NN
undertreatment	undertreatment	NN
unfulfilment	unfulfilment	NN
absorptiometry	absorptiometry	NN
componentry	componentry	NN
computer-industry	computer-industry	NN
cytometry	cytometry	NN
data-entry	data-entry	NN
intercountry	intercountry	NN
multicountry	multicountry	NN
nonindustry	nonindustry	NN
superministry	superministry	NN
tympanometry	tympanometry	NN
conformant	conformant	JJ
adenoviral	adenoviral	JJ
adversarial	adversarial	JJ
agarwal	agarwal	JJ
all-digital	all-digital	JJ
all-natural	all-natural	JJ
all-optical	all-optical	JJ
aminoterminal	aminoterminal	JJ
analog-to-digital	analog-to-digital	JJ
anogenital	anogenital	JJ
anti-imperial	anti-imperial	JJ
antianimal	antianimal	JJ
antichemical	antichemical	JJ
antiretroviral	antiretroviral	JJ
antisexual	antisexual	JJ
apologetical	apologetical	JJ
aspirational	aspirational	JJ
basolateral	basolateral	JJ
bicoastal	bicoastal	JJ
bicultural	bicultural	JJ
binational	binational	JJ
bioanalytical	bioanalytical	JJ
biobehavioral	biobehavioral	JJ
bioelectrical	bioelectrical	JJ
bioethical	bioethical	JJ
biomechanical	biomechanical	JJ
biopharmaceutical	biopharmaceutical	JJ
biopsychosocial	biopsychosocial	JJ
bioregional	bioregional	JJ
biostatistical	biostatistical	JJ
biotechnical	biotechnical	JJ
business-critical	business-critical	JJ
car-rental	car-rental	NN
characterological	characterological	JJ
chiral	chiral	JJ
choroidal	choroidal	JJ
chronical	chronical	JJ
conal	conal	JJ
concessional	concessional	JJ
confederal	confederal	JJ
conflictual	conflictual	JJ
conformational	conformational	JJ
contractural	contractural	JJ
countercultural	countercultural	JJ
countercyclical	countercyclical	JJ
craniofacial	craniofacial	JJ
craniosacral	craniosacral	JJ
crossgenerational	crossgenerational	JJ
crosspromotional	crosspromotional	JJ
cryptococcal	cryptococcal	JJ
cyberspatial	cyberspatial	JJ
cytoskeletal	cytoskeletal	JJ
deathspiral	deathspiral	JJ
democratical	democratic	JJ
deuterocanonical	deuterocanonical	JJ
dialogical	dialogical	JJ
ductal	ductal	JJ
ecclesial	ecclesial	JJ
endocervical	endocervical	JJ
endosomal	endosomal	JJ
endotracheal	endotracheal	JJ
epithermal	epithermal	JJ
ethnobotanical	ethnobotanical	JJ
ethnocultural	ethnocultural	JJ
excisional	excisional	JJ
exertional	exertional	JJ
expectational	expectational	JJ
extraconstitutional	extraconstitutional	JJ
extramusical	extramusical	JJ
extrapyramidal	extrapyramidal	JJ
extratropical	extratropical	JJ
field-goal	field-goal	JJ
frontotemporal	frontotemporal	JJ
gender-neutral	gender-neutral	JJ
geospatial	geospatial	JJ
geotechnical	geotechnical	JJ
gold-medal	gold-medal	JJ
heavy-metal	heavy-metal	JJ
hyperfocal	hyperfocal	JJ
hyperreal	hyperreal	JJ
hypersexual	hypersexual	JJ
hyperspectral	hyperspectral	JJ
hypertextual	hypertextual	JJ
immunohistochemical	immunohistochemical	JJ
in-hospital	in-hospital	JJ
incisional	incisional	JJ
infrarenal	infrarenal	JJ
infrastructural	infrastructural	JJ
inhalational	inhalational	JJ
interannual	interannual	JJ
intercapital	intercapital	JJ
intercultural	intercultural	JJ
interdimensional	interdimensional	JJ
intergenerational	intergenerational	JJ
interhospital	interhospital	JJ
interictal	interictal	JJ
interinstitutional	interinstitutional	JJ
intermodal	intermodal	JJ
intersectoral	intersectoral	JJ
intra-abdominal	intra-abdominal	JJ
intra-arterial	intra-arterial	JJ
intracavernosal	intracavernosal	JJ
intraductal	intraductal	JJ
intraepithelial	intraepithelial	JJ
intrafamilial	intrafamilial	JJ
intraindividual	intraindividual	JJ
intralesional	intralesional	JJ
intraluminal	intraluminal	JJ
intranasal	intranasal	JJ
intraoral	intraoral	JJ
intraperitoneal	intraperitoneal	JJ
intrapersonal	intrapersonal	JJ
intraregional	intraregional	JJ
intrarenal	intrarenal	JJ
intrathecal	intrathecal	JJ
intratracheal	intratracheal	JJ
intravaginal	intravaginal	JJ
intravesical	intravesical	JJ
lavatorial	lavatorial	JJ
leptomeningeal	leptomeningeal	JJ
lesional	lesional	JJ
liquid-crystal	liquid-crystal	JJ
locational	locational	JJ
locoregional	locoregional	JJ
magnetooptical	magnetooptical	JJ
meditational	meditational	JJ
mesangial	mesangial	JJ
metacarpophalangeal	metacarpophalangeal	JJ
metatarsophalangeal	metatarsophalangeal	JJ
metrosexual	metrosexual	JJ
microfilarial	microfilarial	JJ
micromechanical	micromechanical	JJ
microstructural	microstructural	JJ
microsurgical	microsurgical	JJ
midluteal	midluteal	JJ
military-industrial	military-industrial	JJ
minifestival	minifestival	NN
minimusical	minimusical	NN
mission-critical	mission-critical	JJ
multi-institutional	multi-institutional	JJ
multiannual	multiannual	JJ
multicongregational	multicongregational	JJ
multidenominational	multidenominational	JJ
multifunctional	multifunctional	JJ
multigenerational	multigenerational	JJ
multimodal	multimodal	JJ
multiregional	multiregional	JJ
multisectoral	multisectoral	JJ
multispectral	multispectral	JJ
mycobacterial	mycobacterial	JJ
mycoplasmal	mycoplasmal	JJ
myometrial	myometrial	JJ
nasotracheal	nasotracheal	JJ
near-normal	near-normal	JJ
neoterminal	neoterminal	JJ
neotraditional	neotraditional	JJ
neotropical	neotropical	JJ
neurobehavioural	neurobehavioural	JJ
neurodevelopmental	neurodevelopmental	JJ
neurohumoral	neurohumoral	JJ
neuropathological	neuropathological	JJ
neuropharmacological	neuropharmacological	JJ
neuroradiological	neuroradiological	JJ
nigral	nigral	JJ
nigrostriatal	nigrostriatal	JJ
non-commercial	non-commercial	JJ
non-custodial	non-custodial	JJ
non-electrical	non-electrical	JJ
non-essential	non-essential	JJ
non-fatal	non-fatal	JJ
non-federal	non-federal	JJ
non-financial	non-financial	JJ
non-governmental	non-governmental	JJ
non-manual	non-manual	JJ
non-medical	non-medical	JJ
non-metal	non-metal	JJ
non-residential	non-residential	JJ
non-technical	non-technical	JJ
non-traditional	non-traditional	JJ
non-verbal	non-verbal	JJ
nonadversarial	nonadversarial	JJ
nonbiblical	nonbiblical	JJ
nonconfrontational	nonconfrontational	JJ
nonconsensual	nonconsensual	JJ
noncontractual	noncontractual	JJ
nondigital	nondigital	JJ
nongonococcal	nongonococcal	JJ
nonheterosexual	nonheterosexual	JJ
nonjudgemental	nonjudgemental	JJ
nonmanagerial	nonmanagerial	JJ
nonpharmacological	nonpharmacological	JJ
nonreal	nonreal	JJ
nonrenal	nonrenal	JJ
nonsymmetrical	nonsymmetrical	JJ
nonthyroidal	nonthyroidal	JJ
nonviral	nonviral	JJ
nonvirtual	nonvirtual	JJ
nutraceutical	nutraceutical	JJ
oligoclonal	oligoclonal	JJ
orbitofrontal	orbitofrontal	JJ
orofacial	orofacial	JJ
osteochondral	osteochondral	JJ
out-of-hospital	out-of-hospital	JJ
panglobal	panglobal	JJ
parapharmaceutical	parapharmaceutical	JJ
parasternal	parasternal	JJ
parenchymal	parenchymal	JJ
parietotemporal	parietotemporal	JJ
pathophysiological	pathophysiological	JJ
penpal	penpal	NN
periconceptional	periconceptional	JJ
perimenopausal	perimenopausal	JJ
perimenstrual	perimenstrual	JJ
perioral	perioral	JJ
periorbital	periorbital	JJ
periportal	periportal	JJ
peritumoural	peritumoural	JJ
periurethral	periurethral	JJ
peroxisomal	peroxisomal	JJ
photobiological	photobiological	JJ
physiochemical	physiochemical	JJ
polyclonal	polyclonal	JJ
post-industrial	post-industrial	JJ
post-prandial	post-prandial	JJ
post-trial	post-trial	JJ
postclassical	postclassical	JJ
postcoital	postcoital	JJ
postcolonial	postcolonial	JJ
postliberal	postliberal	JJ
postneonatal	postneonatal	JJ
postperinatal	postperinatal	JJ
postpresidential	postpresidential	JJ
poststreptococcal	poststreptococcal	JJ
postviral	postviral	JJ
pre-trial	pre-trial	JJ
precolonial	precolonial	JJ
preconceptual	preconceptual	JJ
prehospital	prehospital	JJ
preprofessional	preprofessional	JJ
procreational	procreational	JJ
prosecutorial	prosecutorial	JJ
proviral	proviral	JJ
pseudoclassical	pseudoclassical	JJ
psychospiritual	psychospiritual	JJ
quasifederal	quasifederal	JJ
quasigovernmental	quasigovernmental	JJ
quasilegal	quasilegal	JJ
quasiprofessional	quasiprofessional	JJ
reputational	reputational	JJ
retroperitoneal	retroperitoneal	JJ
retrosternal	retrosternal	JJ
retroviral	retroviral	JJ
rheumatological	rheumatological	JJ
saphenofemoral	saphenofemoral	JJ
schizotypal	schizotypal	JJ
scientifical	scientifical	JJ
seacoal	seacoal	JJ
self-promotional	self-promotional	JJ
self-referential	self-referential	JJ
semantical	semantical	JJ
semi-annual	semi-annual	JJ
semicriminal	semicriminal	JJ
semifeudal	semifeudal	JJ
semilegal	semilegal	JJ
seminatural	seminatural	JJ
serosal	serosal	JJ
sheetmetal	sheetmetal	NN:UN
sinoatrial	sinoatrial	JJ
sociotechnical	sociotechnical	JJ
stomal	stomal	JJ
striatal	striatal	JJ
subependymal	subependymal	JJ
subepidermal	subepidermal	JJ
submucosal	submucosal	JJ
subnational	subnational	JJ
suboptimal	suboptimal	JJ
subtidal	subtidal	JJ
superregional	superregional	JJ
supraphysiological	supraphysiological	JJ
supratentorial	supratentorial	JJ
sympathoadrenal	sympathoadrenal	JJ
synodical	synodical	JJ
televisual	televisual	JJ
thiomersal	thiomersal	JJ
three-goal	three-goal	JJ
tracheo-oesophageal	tracheo-oesophageal	JJ
transabdominal	transabdominal	JJ
transbronchial	transbronchial	JJ
transcervical	transcervical	JJ
transcranial	transcranial	JJ
transfusional	transfusional	JJ
transgenerational	transgenerational	JJ
transluminal	transluminal	JJ
transmural	transmural	JJ
transoesophageal	transoesophageal	JJ
transracial	transracial	JJ
transrectal	transrectal	JJ
transsphenoidal	transsphenoidal	JJ
transvaginal	transvaginal	JJ
triannual	triannual	JJ
trichological	trichological	JJ
tubulointerstitial	tubulointerstitial	JJ
two-goal	two-goal	JJ
ultramarginal	ultramarginal	JJ
uncal	uncal	JJ
uniparental	uniparental	JJ
unjudgemental	unjudgemental	JJ
unroyal	unroyal	JJ
unseasonal	unseasonal	JJ
unspecial	unspecial	JJ
urothelial	urothelial	JJ
uteroplacental	uteroplacental	JJ
variceal	variceal	JJ
vasovagal	vasovagal	JJ
ventriculoperitoneal	ventriculoperitoneal	JJ
vesicovaginal	vesicovaginal	JJ
visuospatial	visuospatial	JJ
vitreoretinal	vitreoretinal	JJ
abductive	abductive	JJ
all-wheel-drive	all-wheel-drive	JJ
allocative	allocative	JJ
anal-retentive	anal-retentive	JJ
anti-infective	anti-infective	JJ
anticompetitive	anticompetitive	JJ
antiproliferative	antiproliferative	JJ
antireflective	antireflective	JJ
autoreactive	autoreactive	JJ
autoregressive	autoregressive	JJ
best-of-five	best-of-five	JJ
bioaccumulative	bioaccumulative	JJ
bioactive	bioactive	JJ
capital-intensive	capital-intensive	JJ
cardioprotective	cardioprotective	JJ
case-sensitive	case-sensitive	JJ
chemopreventive	chemopreventive	JJ
cocreative	cocreative	JJ
coexecutive	coexecutive	JJ
context-sensitive	context-sensitive	JJ
deconstructive	deconstructive	JJ
dilutive	dilutive	JJ
disassociative	disassociative	JJ
dispositive	dispositive	JJ
electroactive	electroactive	JJ
electroconvulsive	electroconvulsive	JJ
false-negative	false-negative	NN
false-positive	false-positive	NN
four-wheel-drive	four-wheel-drive	JJ
front-wheel-drive	front-wheel-drive	JJ
hypercompetitive	hypercompetitive	JJ
immersive	immersive	JJ
immunoreactive	immunoreactive	JJ
insertive	insertive	JJ
interest-sensitive	interest-sensitive	JJ
intraoperative	intraoperative	JJ
less-expensive	less-expensive	JJ
lymphoproliferative	lymphoproliferative	JJ
metanarrative	metanarrative	JJ
microinvasive	microinvasive	JJ
multidrive	multidrive	JJ
myeloproliferative	myeloproliferative	JJ
myelosuppressive	myelosuppressive	JJ
neurodegenerative	neurodegenerative	JJ
neuroprotective	neuroprotective	JJ
node-negative	node-negative	JJ
non-competitive	non-competitive	JJ
non-exclusive	non-exclusive	JJ
non-executive	non-executive	JJ
non-invasive	non-invasive	JJ
non-native	non-native	JJ
non-reactive	non-reactive	JJ
non-selective	non-selective	JJ
noncaptive	noncaptive	JJ
noncombative	noncombative	JJ
noninfective	noninfective	JJ
nonintrusive	nonintrusive	JJ
overexpensive	overexpensive	JJ
participative	participative	JJ
perioperative	perioperative	JJ
post-operative	post-operative	JJ
precompetitive	precompetitive	JJ
procompetitive	procompetitive	JJ
redistributive	redistributive	JJ
schizoaffective	schizoaffective	JJ
self-adhesive	self-adhesive	JJ
semiquantitative	semiquantitative	JJ
seronegative	seronegative	JJ
seropositive	seropositive	JJ
superexpensive	superexpensive	JJ
supermassive	supermassive	JJ
temperature-sensitive	temperature-sensitive	JJ
testdrive	testdrive	NN
transreflective	transreflective	JJ
ultracompetitive	ultracompetitive	JJ
ultraexpensive	ultraexpensive	JJ
ultrasensitive	ultrasensitive	JJ
vasoactive	vasoactive	JJ
addictiveness	addictiveness	NN
amazingness	amazingness	NN
antibusiness	antibusiness	NN
awakeness	awakeness	NN
business-to-business	business-to-business	JJ
closemindedness	closemindedness	NN
cluelessness	cluelessness	NN
clunkiness	clunkiness	NN
cost-effectiveness	cost-effectiveness	NN
cuddliness	cuddliness	NN
dismissiveness	dismissiveness	NN
e-business	e-business	NN
embeddedness	embeddedness	NN
fakeness	fakeness	NN
fallenness	fallenness	NN
headedness	headedness	NN
hyperresponsiveness	hyperresponsiveness	NN
laddishness	laddishness	NN
loopiness	loopiness	NN
naffness	naffness	NN
nerdiness	nerdiness	NN
overfatness	overfatness	NN
pro-business	pro-business	JJ
small-business	small-business	JJ
sparkiness	sparkiness	NN
stroppiness	stroppiness	NN
thuggishness	thuggishness	NN
unsexiness	unsexiness	NN
upness	upness	NN
user-friendliness	user-friendliness	NN
yobbishness	yobbishness	NN
agentless	agentless	JJ
beginningless	beginningless	JJ
boundaryless	boundaryless	JJ
cableless	cableless	JJ
chipless	chipless	JJ
connectionless	connectionless	JJ
contactless	contactless	JJ
diaperless	diaperless	JJ
fabless	fabless	JJ
filmless	filmless	JJ
helmetless	helmetless	JJ
homerless	homerless	JJ
jumperless	jumperless	JJ
knickerless	knickerless	JJ
managerless	managerless	JJ
needleless	needleless	JJ
sponsorless	sponsorless	JJ
trenchless	trenchless	JJ
wicketless	wicketless	JJ
winnerless	winnerless	JJ
abiogenic	abiogenic	JJ
acetylsalicylic	acetylsalicylic	JJ
age-specific	age-specific	JJ
air-traffic	air-traffic	JJ
allosteric	allosteric	JJ
alphamosaic	alphamosaic	JJ
amyotrophic	amyotrophic	JJ
angiogenic	angiogenic	JJ
angiographic	angiographic	JJ
anthemic	anthemic	JJ
anti-catholic	anti-catholic	JJ
antiangiogenic	antiangiogenic	JJ
antiheroic	antiheroic	JJ
antisemantic	antisemantic	JJ
antithrombotic	antithrombotic	JJ
apoptotic	apoptotic	JJ
application-specific	application-specific	JJ
arachidonic	arachidonic	JJ
arthroscopic	arthroscopic	JJ
atopic	atopic	JJ
beta-adrenergic	beta-adrenergic	JJ
biomimetic	biomimetic	JJ
bioorganic	bioorganic	JJ
biphasic	biphasic	JJ
breed-specific	breed-specific	JJ
carcinoembryonic	carcinoembryonic	JJ
cardiogenic	cardiogenic	JJ
cardiothoracic	cardiothoracic	JJ
clavulanic	clavulanic	JJ
coartistic	coartistic	JJ
colposcopic	colposcopic	JJ
counterhegemonic	counterhegemonic	JJ
cytometric	cytometric	JJ
cytosolic	cytosolic	JJ
dimeric	dimeric	JJ
docosahexaenoic	docosahexaenoic	JJ
dopaminergic	dopaminergic	JJ
dysmorphic	dysmorphic	JJ
dystopic	dystopic	JJ
echocardiographic	echocardiographic	JJ
eicosapentaenoic	eicosapentaenoic	JJ
electrochromic	electrochromic	JJ
electrohydraulic	electrohydraulic	JJ
electropneumatic	electropneumatic	JJ
endocytic	endocytic	JJ
entropic	entropic	JJ
evangelic	evangelic	JJ
fibrocystic	fibrocystic	JJ
funkadelic	funkadelic	JJ
genotoxic	genotoxic	JJ
halachic	halachic	JJ
hegemonistic	hegemonistic	JJ
hexameric	hexameric	JJ
high-traffic	high-traffic	JJ
homeotic	homeotic	JJ
homogenic	homogenic	JJ
hydronic	hydronic	JJ
hypergeometric	hypergeometric	JJ
hyperrealistic	hyperrealistic	JJ
hypoallergenic	hypoallergenic	JJ
interethnic	interethnic	JJ
intracytoplasmic	intracytoplasmic	JJ
intragastric	intragastric	JJ
intragenic	intragenic	JJ
intrahepatic	intrahepatic	JJ
intrathoracic	intrathoracic	JJ
intrathymic	intrathymic	JJ
ischiopubic	ischiopubic	JJ
isocaloric	isocaloric	JJ
isophthalic	isophthalic	JJ
ketogenic	ketogenic	JJ
kleptocratic	kleptocratic	JJ
laparoscopic	laparoscopic	JJ
leucopenic	leucopenic	JJ
leukaemogenic	leukaemogenic	JJ
linolenic	linolenic	JJ
lymphotropic	lymphotropic	JJ
lysergic	lysergic	JJ
macrosomic	macrosomic	JJ
maleic	maleic	JJ
malic	malic	JJ
malolactic	malolactic	JJ
mammographic	mammographic	JJ
mefenamic	mefenamic	JJ
melanocytic	melanocytic	JJ
mercaptoacetic	mercaptoacetic	JJ
metaphosphoric	metaphosphoric	JJ
metaplastic	metaplastic	JJ
methacrylic	methacrylic	JJ
methylmalonic	methylmalonic	JJ
microalbuminuric	microalbuminuric	JJ
microangiopathic	microangiopathic	JJ
microfluidic	microfluidic	JJ
minimalistic	minimalistic	JJ
mitogenic	mitogenic	JJ
monospecific	monospecific	JJ
monothematic	monothematic	JJ
morphometric	morphometric	JJ
multicystic	multicystic	JJ
multimeric	multimeric	JJ
muscarinic	muscarinic	JJ
myeloblastic	myeloblastic	JJ
myelodysplastic	myelodysplastic	JJ
myelomonocytic	myelomonocytic	JJ
myelotoxic	myelotoxic	JJ
nalidixic	nalidixic	JJ
nanoelectronic	nanoelectronic	JJ
naphthenic	naphthenic	JJ
nasogastric	nasogastric	JJ
neoromantic	neoromantic	JJ
neuroglycopenic	neuroglycopenic	JJ
neuroscientific	neuroscientific	JJ
neutropenic	neutropenic	JJ
neutrophilic	neutrophilic	JJ
newmusic	newmusic	JJ
non-alcoholic	non-alcoholic	JJ
non-electric	non-electric	JJ
non-hispanic	non-hispanic	JJ
non-ionic	non-ionic	JJ
non-magnetic	non-magnetic	JJ
non-public	non-public	JJ
non-specific	non-specific	JJ
non-strategic	non-strategic	JJ
non-toxic	non-toxic	JJ
nonallergic	nonallergic	JJ
nonarteritic	nonarteritic	JJ
nonatopic	nonatopic	JJ
nonbiometric	nonbiometric	JJ
nonepidemic	nonepidemic	JJ
nonhaemorrhagic	nonhaemorrhagic	JJ
nonischaemic	nonischaemic	JJ
nonlymphoblastic	nonlymphoblastic	JJ
nonlymphocytic	nonlymphocytic	JJ
nonmetastatic	nonmetastatic	JJ
nonneoplastic	nonneoplastic	JJ
nontraumatic	nontraumatic	JJ
nonuraemic	nonuraemic	JJ
noradrenergic	noradrenergic	JJ
normocalcaemic	normocalcaemic	JJ
normochromic	normochromic	JJ
normoglycaemic	normoglycaemic	JJ
normovolaemic	normovolaemic	JJ
oliguric	oliguric	JJ
orthotopic	orthotopic	JJ
osteogenic	osteogenic	JJ
osteolytic	osteolytic	JJ
osteoporotic	osteoporotic	JJ
oversimplistic	oversimplistic	JJ
oxymoronic	oxymoronic	JJ
paedophilic	paedophilic	JJ
palaeoclimatic	palaeoclimatic	JJ
palaeomagnetic	palaeomagnetic	JJ
pantothenic	pantothenic	JJ
paraaortic	paraaortic	JJ
paraneoplastic	paraneoplastic	JJ
parasitaemic	parasitaemic	JJ
perimesencephalic	perimesencephalic	JJ
peripancreatic	peripancreatic	JJ
phosphatidic	phosphatidic	JJ
phosphotungstic	phosphotungstic	JJ
photorealistic	photorealistic	JJ
phototoxic	phototoxic	JJ
phytic	phytic	JJ
podiatric	podiatric	JJ
politicoeconomic	politicoeconomic	JJ
polyacrylic	polyacrylic	JJ
polycarboxylic	polycarboxylic	JJ
polycystic	polycystic	JJ
populistic	populistic	JJ
post-traumatic	post-traumatic	JJ
postherpetic	postherpetic	JJ
postromantic	postromantic	JJ
pre-eclamptic	pre-eclamptic	JJ
preantibiotic	preantibiotic	JJ
preleukaemic	preleukaemic	JJ
preneoplastic	preneoplastic	JJ
presynaptic	presynaptic	JJ
proarrhythmic	proarrhythmic	JJ
probiotic	probiotic	JJ
prokinetic	prokinetic	JJ
promyelocytic	promyelocytic	JJ
proteinuric	proteinuric	JJ
pseudoallergic	pseudoallergic	JJ
quasiacademic	quasiacademic	JJ
quasipublic	quasipublic	JJ
quasistatic	quasistatic	JJ
quinolinic	quinolinic	JJ
racaemic	racaemic	JJ
retinoic	retinoic	JJ
ribonucleic	ribonucleic	JJ
sarcoplasmic	sarcoplasmic	JJ
scintigraphic	scintigraphic	JJ
seborrhoeic	seborrhoeic	JJ
semiacoustic	semiacoustic	JJ
semidemocratic	semidemocratic	JJ
serotonergic	serotonergic	JJ
serotoninergic	serotoninergic	JJ
sex-specific	sex-specific	JJ
sideroblastic	sideroblastic	JJ
site-specific	site-specific	JJ
socio-economic	socio-economic	JJ
sociodemographic	sociodemographic	JJ
sonographic	sonographic	JJ
species-specific	species-specific	JJ
subaortic	subaortic	JJ
subtherapeutic	subtherapeutic	JJ
suprachiasmatic	suprachiasmatic	JJ
suprapubic	suprapubic	JJ
syngeneic	syngeneic	JJ
telomeric	telomeric	JJ
terephthalic	terephthalic	JJ
tetraplegic	tetraplegic	JJ
thalassaemic	thalassaemic	JJ
thermochromic	thermochromic	JJ
thermophilic	thermophilic	JJ
thrombocytopenic	thrombocytopenic	JJ
thromboembolic	thromboembolic	JJ
thrombogenic	thrombogenic	JJ
tissue-specific	tissue-specific	JJ
tokenistic	tokenistic	JJ
tomographic	tomographic	JJ
toxigenic	toxigenic	JJ
trans-atlantic	trans-atlantic	JJ
transgenic	transgenic	JJ
transhepatic	transhepatic	JJ
tribalistic	tribalistic	JJ
tricarboxylic	tricarboxylic	JJ
trichloroacetic	trichloroacetic	JJ
trifluoroacetic	trifluoroacetic	JJ
tumorigenic	tumorigenic	JJ
type-specific	type-specific	JJ
ulcerogenic	ulcerogenic	JJ
ultrachic	ultrachic	JJ
ultrasonographic	ultrasonographic	JJ
uncharismatic	uncharismatic	JJ
uncinematic	uncinematic	JJ
unphotogenic	unphotogenic	JJ
urodynamic	urodynamic	JJ
ursodeoxycholic	ursodeoxycholic	JJ
valproic	valproic	JJ
vanillylmandelic	vanillylmandelic	JJ
vasculitic	vasculitic	JJ
vasospastic	vasospastic	JJ
vesicoamniotic	vesicoamniotic	JJ
vesicoureteric	vesicoureteric	JJ
viraemic	viraemic	JJ
virus-specific	virus-specific	JJ
worldmusic	worldmusic	NN
air-quality	air-quality	NN
auditability	auditability	NN
bidirectionality	bidirectionality	NN
cacheability	cacheability	NN
comfortability	comfortability	NN
configurability	configurability	NN
copyrightability	copyrightability	NN
customizability	customizability	NN
deployability	deployability	NN
discoverability	discoverability	NN
dysfunctionality	dysfunctionality	NN
editability	editability	NN
evolvability	evolvability	NN
favorability	favorability	NN
findability	findability	NN
good-quality	good-quality	NN
high-availability	high-availability	NN
high-quality	high-quality	NN
higher-quality	higher-quality	NN
highest-quality	highest-quality	NN
hyperreality	hyperreality	NN
prefeasibility	prefeasibility	NN
product-liability	product-liability	NN
recyclability	recyclability	NN
