# A part-of-speech dictionary that's used additionally to the binary dictionary (*.dict).
# This does not add words to the spell checker, see hunspell/spelling.txt for that.
# File Encoding: UTF-8
# Format: three semicolon-separated fields: fullform;baseform;postags
#from Freeling
#separatorRegExp=;
Saint-Jacques-en-Valgodemard;Saint-Jacques-en-Valgodemard;Z e sp
Saint-Jacques-sur-Darnétal;Saint-Jacques-sur-Darnétal;Z e sp
Saint-Jacut-de-la-Mer;Saint-Jacut-de-la-Mer;Z e sp
Saint-Jacut-les-Pins;Saint-Jacut-les-Pins;Z e sp
Saint-Jal;Saint-Jal;Z e sp
Saint-James;Saint-James;Z e sp
Saint-Jammes;Saint-Jammes;Z e sp
Saint-Jans-Cappel;Saint-Jans-Cappel;Z e sp
Saint-Jean;Saint-Jean;Z e sp
Saint-Jean-Bonnefonds;Saint-Jean-Bonnefonds;Z e sp
Saint-Jean-Brévelay;Saint-Jean-Brévelay;Z e sp
Saint-Jean-Cap-Ferrat;Saint-Jean-Cap-Ferrat;Z e sp
Saint-Jean-Chambre;Saint-Jean-Chambre;Z e sp
Saint-Jean-Delnous;Saint-Jean-Delnous;Z e sp
Saint-Jean-Froidmentel;Saint-Jean-Froidmentel;Z e sp
Saint-Jean-Kerdaniel;Saint-Jean-Kerdaniel;Z e sp
Saint-Jean-Kourtzerode;Saint-Jean-Kourtzerode;Z e sp
Saint-Jean-Lachalm;Saint-Jean-Lachalm;Z e sp
Saint-Jean-Lagineste;Saint-Jean-Lagineste;Z e sp
Saint-Jean-Lasseille;Saint-Jean-Lasseille;Z e sp
Saint-Jean-Lespinasse;Saint-Jean-Lespinasse;Z e sp
Saint-Jean-Lherm;Saint-Jean-Lherm;Z e sp
Saint-Jean-Ligoure;Saint-Jean-Ligoure;Z e sp
Saint-Jean-Mirabel;Saint-Jean-Mirabel;Z e sp
Saint-Jean-Pied-de-Port;Saint-Jean-Pied-de-Port;Z e sp
Saint-Jean-Pierre-Fixte;Saint-Jean-Pierre-Fixte;Z e sp
Saint-Jean-Pla-de-Corts;Saint-Jean-Pla-de-Corts;Z e sp
Saint-Jean-Poudge;Saint-Jean-Poudge;Z e sp
Saint-Jean-Poutge;Saint-Jean-Poutge;Z e sp
Saint-Jean-Rohrbach;Saint-Jean-Rohrbach;Z e sp
Saint-Jean-Roure;Saint-Jean-Roure;Z e sp
Saint-Jean-Saint-Germain;Saint-Jean-Saint-Germain;Z e sp
Saint-Jean-Saint-Gervais;Saint-Jean-Saint-Gervais;Z e sp
Saint-Jean-Saint-Maurice-sur-Loire;Saint-Jean-Saint-Maurice-sur-Loire;Z e sp
Saint-Jean-Saint-Nicolas;Saint-Jean-Saint-Nicolas;Z e sp
Saint-Jean-Saverne;Saint-Jean-Saverne;Z e sp
Saint-Jean-Soleymieux;Saint-Jean-Soleymieux;Z e sp
Saint-Jean-Trolimon;Saint-Jean-Trolimon;Z e sp
Saint-Jean-aux-Amognes;Saint-Jean-aux-Amognes;Z e sp
Saint-Jean-aux-Bois;Saint-Jean-aux-Bois;Z e sp
Saint-Jean-d'Aigues-Vives;Saint-Jean-d'Aigues-Vives;Z e sp
Saint-Jean-d'Alcapiès;Saint-Jean-d'Alcapiès;Z e sp
Saint-Jean-d'Angle;Saint-Jean-d'Angle;Z e sp
Saint-Jean-d'Angély;Saint-Jean-d'Angély;Z e sp
Saint-Jean-d'Arves;Saint-Jean-d'Arves;Z e sp
Saint-Jean-d'Arvey;Saint-Jean-d'Arvey;Z e sp
Saint-Jean-d'Assé;Saint-Jean-d'Assé;Z e sp
Saint-Jean-d'Ataux;Saint-Jean-d'Ataux;Z e sp
Saint-Jean-d'Aubrigoux;Saint-Jean-d'Aubrigoux;Z e sp
Saint-Jean-d'Aulps;Saint-Jean-d'Aulps;Z e sp
Saint-Jean-d'Avelanne;Saint-Jean-d'Avelanne;Z e sp
Saint-Jean-d'Elle;Saint-Jean-d'Elle;Z e sp
Saint-Jean-d'Estissac;Saint-Jean-d'Estissac;Z e sp
Saint-Jean-d'Heurs;Saint-Jean-d'Heurs;Z e sp
Saint-Jean-d'Hérans;Saint-Jean-d'Hérans;Z e sp
Saint-Jean-d'Illac;Saint-Jean-d'Illac;Z e sp
Saint-Jean-d'Ormont;Saint-Jean-d'Ormont;Z e sp
Saint-Jean-de-Barrou;Saint-Jean-de-Barrou;Z e sp
Saint-Jean-de-Bassel;Saint-Jean-de-Bassel;Z e sp
Saint-Jean-de-Beauregard;Saint-Jean-de-Beauregard;Z e sp
Saint-Jean-de-Beugné;Saint-Jean-de-Beugné;Z e sp
Saint-Jean-de-Blaignac;Saint-Jean-de-Blaignac;Z e sp
Saint-Jean-de-Boiseau;Saint-Jean-de-Boiseau;Z e sp
Saint-Jean-de-Bonneval;Saint-Jean-de-Bonneval;Z e sp
Saint-Jean-de-Bournay;Saint-Jean-de-Bournay;Z e sp
Saint-Jean-de-Braye;Saint-Jean-de-Braye;Z e sp
Saint-Jean-de-Buèges;Saint-Jean-de-Buèges;Z e sp
Saint-Jean-de-Bœuf;Saint-Jean-de-Bœuf;Z e sp
Saint-Jean-de-Ceyrargues;Saint-Jean-de-Ceyrargues;Z e sp
Saint-Jean-de-Chevelu;Saint-Jean-de-Chevelu;Z e sp
Saint-Jean-de-Cornies;Saint-Jean-de-Cornies;Z e sp
Saint-Jean-de-Couz;Saint-Jean-de-Couz;Z e sp
Saint-Jean-de-Crieulon;Saint-Jean-de-Crieulon;Z e sp
Saint-Jean-de-Cuculles;Saint-Jean-de-Cuculles;Z e sp
Saint-Jean-de-Côle;Saint-Jean-de-Côle;Z e sp
Saint-Jean-de-Daye;Saint-Jean-de-Daye;Z e sp
Saint-Jean-de-Duras;Saint-Jean-de-Duras;Z e sp
Saint-Jean-de-Folleville;Saint-Jean-de-Folleville;Z e sp
Saint-Jean-de-Fos;Saint-Jean-de-Fos;Z e sp
Saint-Jean-de-Galaure;Saint-Jean-de-Galaure;Z e sp
Saint-Jean-de-Gonville;Saint-Jean-de-Gonville;Z e sp
Saint-Jean-de-Laur;Saint-Jean-de-Laur;Z e sp
Saint-Jean-de-Lier;Saint-Jean-de-Lier;Z e sp
Saint-Jean-de-Liversay;Saint-Jean-de-Liversay;Z e sp
Saint-Jean-de-Livet;Saint-Jean-de-Livet;Z e sp
Saint-Jean-de-Losne;Saint-Jean-de-Losne;Z e sp
Saint-Jean-de-Luz;Saint-Jean-de-Luz;Z e sp
Saint-Jean-de-Marcel;Saint-Jean-de-Marcel;Z e sp
Saint-Jean-de-Marsacq;Saint-Jean-de-Marsacq;Z e sp
Saint-Jean-de-Maruéjols-et-Avéjan;Saint-Jean-de-Maruéjols-et-Avéjan;Z e sp
Saint-Jean-de-Maurienne;Saint-Jean-de-Maurienne;Z e sp
Saint-Jean-de-Minervois;Saint-Jean-de-Minervois;Z e sp
Saint-Jean-de-Moirans;Saint-Jean-de-Moirans;Z e sp
Saint-Jean-de-Monts;Saint-Jean-de-Monts;Z e sp
Saint-Jean-de-Muzols;Saint-Jean-de-Muzols;Z e sp
Saint-Jean-de-Nay;Saint-Jean-de-Nay;Z e sp
Saint-Jean-de-Niost;Saint-Jean-de-Niost;Z e sp
Saint-Jean-de-Paracol;Saint-Jean-de-Paracol;Z e sp
Saint-Jean-de-Rebervilliers;Saint-Jean-de-Rebervilliers;Z e sp
Saint-Jean-de-Rives;Saint-Jean-de-Rives;Z e sp
Saint-Jean-de-Sauves;Saint-Jean-de-Sauves;Z e sp
Saint-Jean-de-Savigny;Saint-Jean-de-Savigny;Z e sp
Saint-Jean-de-Serres;Saint-Jean-de-Serres;Z e sp
Saint-Jean-de-Sixt;Saint-Jean-de-Sixt;Z e sp
Saint-Jean-de-Soudain;Saint-Jean-de-Soudain;Z e sp
Saint-Jean-de-Tholome;Saint-Jean-de-Tholome;Z e sp
Saint-Jean-de-Thouars;Saint-Jean-de-Thouars;Z e sp
Saint-Jean-de-Thurac;Saint-Jean-de-Thurac;Z e sp
Saint-Jean-de-Thurigneux;Saint-Jean-de-Thurigneux;Z e sp
Saint-Jean-de-Trézy;Saint-Jean-de-Trézy;Z e sp
Saint-Jean-de-Vals;Saint-Jean-de-Vals;Z e sp
Saint-Jean-de-Valériscle;Saint-Jean-de-Valériscle;Z e sp
Saint-Jean-de-Vaulx;Saint-Jean-de-Vaulx;Z e sp
Saint-Jean-de-Vaux;Saint-Jean-de-Vaux;Z e sp
Saint-Jean-de-Verges;Saint-Jean-de-Verges;Z e sp
Saint-Jean-de-Védas;Saint-Jean-de-Védas;Z e sp
Saint-Jean-de-la-Blaquière;Saint-Jean-de-la-Blaquière;Z e sp
Saint-Jean-de-la-Croix;Saint-Jean-de-la-Croix;Z e sp
Saint-Jean-de-la-Haize;Saint-Jean-de-la-Haize;Z e sp
Saint-Jean-de-la-Motte;Saint-Jean-de-la-Motte;Z e sp
Saint-Jean-de-la-Neuville;Saint-Jean-de-la-Neuville;Z e sp
Saint-Jean-de-la-Porte;Saint-Jean-de-la-Porte;Z e sp
Saint-Jean-de-la-Rivière;Saint-Jean-de-la-Rivière;Z e sp
Saint-Jean-de-la-Ruelle;Saint-Jean-de-la-Ruelle;Z e sp
Saint-Jean-des-Champs;Saint-Jean-des-Champs;Z e sp
Saint-Jean-des-Ollières;Saint-Jean-des-Ollières;Z e sp
Saint-Jean-des-Vignes;Saint-Jean-des-Vignes;Z e sp
Saint-Jean-des-Échelles;Saint-Jean-des-Échelles;Z e sp
Saint-Jean-devant-Possesse;Saint-Jean-devant-Possesse;Z e sp
Saint-Jean-du-Bois;Saint-Jean-du-Bois;Z e sp
Saint-Jean-du-Bouzet;Saint-Jean-du-Bouzet;Z e sp
Saint-Jean-du-Bruel;Saint-Jean-du-Bruel;Z e sp
Saint-Jean-du-Cardonnay;Saint-Jean-du-Cardonnay;Z e sp
Saint-Jean-du-Castillonnais;Saint-Jean-du-Castillonnais;Z e sp
Saint-Jean-du-Corail-des-Bois;Saint-Jean-du-Corail-des-Bois;Z e sp
Saint-Jean-du-Doigt;Saint-Jean-du-Doigt;Z e sp
Saint-Jean-du-Falga;Saint-Jean-du-Falga;Z e sp
Saint-Jean-du-Gard;Saint-Jean-du-Gard;Z e sp
Saint-Jean-du-Pin;Saint-Jean-du-Pin;Z e sp
Saint-Jean-du-Thenney;Saint-Jean-du-Thenney;Z e sp
Saint-Jean-en-Royans;Saint-Jean-en-Royans;Z e sp
Saint-Jean-en-Val;Saint-Jean-en-Val;Z e sp
Saint-Jean-et-Saint-Paul;Saint-Jean-et-Saint-Paul;Z e sp
Saint-Jean-la-Bussière;Saint-Jean-la-Bussière;Z e sp
Saint-Jean-la-Fouillouse;Saint-Jean-la-Fouillouse;Z e sp
Saint-Jean-la-Poterie;Saint-Jean-la-Poterie;Z e sp
Saint-Jean-la-Vêtre;Saint-Jean-la-Vêtre;Z e sp
Saint-Jean-le-Blanc;Saint-Jean-le-Blanc;Z e sp
Saint-Jean-le-Centenier;Saint-Jean-le-Centenier;Z e sp
Saint-Jean-le-Comtal;Saint-Jean-le-Comtal;Z e sp
Saint-Jean-le-Thomas;Saint-Jean-le-Thomas;Z e sp
Saint-Jean-le-Vieux;Saint-Jean-le-Vieux;Z e sp
Saint-Jean-les-Deux-Jumeaux;Saint-Jean-les-Deux-Jumeaux;Z e sp
Saint-Jean-lès-Buzy;Saint-Jean-lès-Buzy;Z e sp
Saint-Jean-lès-Longuyon;Saint-Jean-lès-Longuyon;Z e sp
Saint-Jean-sur-Mayenne;Saint-Jean-sur-Mayenne;Z e sp
Saint-Jean-sur-Moivre;Saint-Jean-sur-Moivre;Z e sp
Saint-Jean-sur-Reyssouze;Saint-Jean-sur-Reyssouze;Z e sp
Saint-Jean-sur-Tourbe;Saint-Jean-sur-Tourbe;Z e sp
Saint-Jean-sur-Veyle;Saint-Jean-sur-Veyle;Z e sp
Saint-Jean-sur-Vilaine;Saint-Jean-sur-Vilaine;Z e sp
Saint-Jeannet;Saint-Jeannet;Z e sp
Saint-Jeanvrin;Saint-Jeanvrin;Z e sp
Saint-Jeoire;Saint-Jeoire;Z e sp
Saint-Jeoire-Prieuré;Saint-Jeoire-Prieuré;Z e sp
Saint-Jeure-d'Andaure;Saint-Jeure-d'Andaure;Z e sp
Saint-Jeure-d'Ay;Saint-Jeure-d'Ay;Z e sp
Saint-Jeures;Saint-Jeures;Z e sp
Saint-Joachim;Saint-Joachim;Z e sp
Saint-Jodard;Saint-Jodard;Z e sp
Saint-Joire;Saint-Joire;Z e sp
Saint-Jorioz;Saint-Jorioz;Z e sp
Saint-Jory;Saint-Jory;Z e sp
Saint-Jory-de-Chalais;Saint-Jory-de-Chalais;Z e sp
Saint-Jory-las-Bloux;Saint-Jory-las-Bloux;Z e sp
Saint-Joseph;Saint-Joseph;Z e sp
Saint-Joseph-de-Rivière;Saint-Joseph-de-Rivière;Z e sp
Saint-Joseph-des-Bancs;Saint-Joseph-des-Bancs;Z e sp
Saint-Josse;Saint-Josse;Z e sp
Saint-Jouan-de-l'Isle;Saint-Jouan-de-l'Isle;Z e sp
Saint-Jouan-des-Guérets;Saint-Jouan-des-Guérets;Z e sp
Saint-Jouin;Saint-Jouin;Z e sp
Saint-Jouin-Bruneval;Saint-Jouin-Bruneval;Z e sp
Saint-Jouin-de-Blavou;Saint-Jouin-de-Blavou;Z e sp
Saint-Jouvent;Saint-Jouvent;Z e sp
Saint-Juan;Saint-Juan;Z e sp
Saint-Judoce;Saint-Judoce;Z e sp
Saint-Juire-Champgillon;Saint-Juire-Champgillon;Z e sp
Saint-Julia;Saint-Julia;Z e sp
Saint-Julia-de-Bec;Saint-Julia-de-Bec;Z e sp
Saint-Julien;Saint-Julien;Z e sp
Saint-Julien-Beychevelle;Saint-Julien-Beychevelle;Z e sp
Saint-Julien-Chapteuil;Saint-Julien-Chapteuil;Z e sp
Saint-Julien-Gaulène;Saint-Julien-Gaulène;Z e sp
Saint-Julien-Innocence-Eulalie;Saint-Julien-Innocence-Eulalie;Z e sp
Saint-Julien-Maumont;Saint-Julien-Maumont;Z e sp
Saint-Julien-Molhesabate;Saint-Julien-Molhesabate;Z e sp
Saint-Julien-Molin-Molette;Saint-Julien-Molin-Molette;Z e sp
Saint-Julien-Mont-Denis;Saint-Julien-Mont-Denis;Z e sp
Saint-Julien-Puy-Lavèze;Saint-Julien-Puy-Lavèze;Z e sp
Saint-Julien-Vocance;Saint-Julien-Vocance;Z e sp
Saint-Julien-aux-Bois;Saint-Julien-aux-Bois;Z e sp
Saint-Julien-d'Ance;Saint-Julien-d'Ance;Z e sp
Saint-Julien-d'Armagnac;Saint-Julien-d'Armagnac;Z e sp
Saint-Julien-d'Asse;Saint-Julien-d'Asse;Z e sp
Saint-Julien-d'Intres;Saint-Julien-d'Intres;Z e sp
Saint-Julien-d'Oddes;Saint-Julien-d'Oddes;Z e sp
Saint-Julien-de-Briola;Saint-Julien-de-Briola;Z e sp
Saint-Julien-de-Cassagnas;Saint-Julien-de-Cassagnas;Z e sp
Saint-Julien-de-Chédon;Saint-Julien-de-Chédon;Z e sp
Saint-Julien-de-Civry;Saint-Julien-de-Civry;Z e sp
Saint-Julien-de-Concelles;Saint-Julien-de-Concelles;Z e sp
Saint-Julien-de-Coppel;Saint-Julien-de-Coppel;Z e sp
Saint-Julien-de-Gras-Capou;Saint-Julien-de-Gras-Capou;Z e sp
Saint-Julien-de-Jonzy;Saint-Julien-de-Jonzy;Z e sp
Saint-Julien-de-Lampon;Saint-Julien-de-Lampon;Z e sp
Saint-Julien-de-Peyrolas;Saint-Julien-de-Peyrolas;Z e sp
Saint-Julien-de-Toursac;Saint-Julien-de-Toursac;Z e sp
Saint-Julien-de-Vouvantes;Saint-Julien-de-Vouvantes;Z e sp
Saint-Julien-de-l'Escap;Saint-Julien-de-l'Escap;Z e sp
Saint-Julien-de-l'Herms;Saint-Julien-de-l'Herms;Z e sp
Saint-Julien-de-la-Liègue;Saint-Julien-de-la-Liègue;Z e sp
Saint-Julien-de-la-Nef;Saint-Julien-de-la-Nef;Z e sp
Saint-Julien-des-Chazes;Saint-Julien-des-Chazes;Z e sp
Saint-Julien-des-Landes;Saint-Julien-des-Landes;Z e sp
Saint-Julien-des-Points;Saint-Julien-des-Points;Z e sp
Saint-Julien-du-Gua;Saint-Julien-du-Gua;Z e sp
Saint-Julien-du-Pinet;Saint-Julien-du-Pinet;Z e sp
Saint-Julien-du-Puy;Saint-Julien-du-Puy;Z e sp
Saint-Julien-du-Sault;Saint-Julien-du-Sault;Z e sp
Saint-Julien-du-Serre;Saint-Julien-du-Serre;Z e sp
Saint-Julien-du-Terroux;Saint-Julien-du-Terroux;Z e sp
Saint-Julien-du-Verdon;Saint-Julien-du-Verdon;Z e sp
Saint-Julien-en-Beauchêne;Saint-Julien-en-Beauchêne;Z e sp
Saint-Julien-en-Born;Saint-Julien-en-Born;Z e sp
Saint-Julien-en-Champsaur;Saint-Julien-en-Champsaur;Z e sp
Saint-Julien-en-Genevois;Saint-Julien-en-Genevois;Z e sp
Saint-Julien-en-Quint;Saint-Julien-en-Quint;Z e sp
Saint-Julien-en-Saint-Alban;Saint-Julien-en-Saint-Alban;Z e sp
Saint-Julien-en-Vercors;Saint-Julien-en-Vercors;Z e sp
Saint-Julien-l'Ars;Saint-Julien-l'Ars;Z e sp
Saint-Julien-la-Geneste;Saint-Julien-la-Geneste;Z e sp
Saint-Julien-la-Genête;Saint-Julien-la-Genête;Z e sp
Saint-Julien-le-Châtel;Saint-Julien-le-Châtel;Z e sp
Saint-Julien-le-Petit;Saint-Julien-le-Petit;Z e sp
Saint-Julien-le-Pèlerin;Saint-Julien-le-Pèlerin;Z e sp
Saint-Julien-le-Roux;Saint-Julien-le-Roux;Z e sp
Saint-Julien-le-Vendômois;Saint-Julien-le-Vendômois;Z e sp
Saint-Julien-les-Rosiers;Saint-Julien-les-Rosiers;Z e sp
Saint-Julien-les-Villas;Saint-Julien-les-Villas;Z e sp
Saint-Julien-lès-Gorze;Saint-Julien-lès-Gorze;Z e sp
Saint-Julien-lès-Metz;Saint-Julien-lès-Metz;Z e sp
Saint-Julien-lès-Montbéliard;Saint-Julien-lès-Montbéliard;Z e sp
Saint-Julien-lès-Russey;Saint-Julien-lès-Russey;Z e sp
Saint-Julien-sous-les-Côtes;Saint-Julien-sous-les-Côtes;Z e sp
Saint-Julien-sur-Bibost;Saint-Julien-sur-Bibost;Z e sp
Saint-Julien-sur-Calonne;Saint-Julien-sur-Calonne;Z e sp
Saint-Julien-sur-Cher;Saint-Julien-sur-Cher;Z e sp
Saint-Julien-sur-Dheune;Saint-Julien-sur-Dheune;Z e sp
Saint-Julien-sur-Garonne;Saint-Julien-sur-Garonne;Z e sp
Saint-Julien-sur-Reyssouze;Saint-Julien-sur-Reyssouze;Z e sp
Saint-Julien-sur-Sarthe;Saint-Julien-sur-Sarthe;Z e sp
Saint-Julien-sur-Veyle;Saint-Julien-sur-Veyle;Z e sp
Saint-Junien;Saint-Junien;Z e sp
Saint-Junien-la-Bregère;Saint-Junien-la-Bregère;Z e sp
Saint-Junien-les-Combes;Saint-Junien-les-Combes;Z e sp
Saint-Jure;Saint-Jure;Z e sp
Saint-Jurs;Saint-Jurs;Z e sp
Saint-Just;Saint-Just;Z e sp
Saint-Just-Chaleyssin;Saint-Just-Chaleyssin;Z e sp
Saint-Just-Ibarre;Saint-Just-Ibarre;Z e sp
Saint-Just-Luzac;Saint-Just-Luzac;Z e sp
Saint-Just-Malmont;Saint-Just-Malmont;Z e sp
Saint-Just-Saint-Rambert;Saint-Just-Saint-Rambert;Z e sp
Saint-Just-Sauvage;Saint-Just-Sauvage;Z e sp
Saint-Just-d'Ardèche;Saint-Just-d'Ardèche;Z e sp
Saint-Just-d'Avray;Saint-Just-d'Avray;Z e sp
Saint-Just-de-Claix;Saint-Just-de-Claix;Z e sp
Saint-Just-en-Bas;Saint-Just-en-Bas;Z e sp
Saint-Just-en-Brie;Saint-Just-en-Brie;Z e sp
Saint-Just-en-Chaussée;Saint-Just-en-Chaussée;Z e sp
Saint-Just-en-Chevalet;Saint-Just-en-Chevalet;Z e sp
Saint-Just-et-Vacquières;Saint-Just-et-Vacquières;Z e sp
Saint-Just-et-le-Bézu;Saint-Just-et-le-Bézu;Z e sp
Saint-Just-la-Pendue;Saint-Just-la-Pendue;Z e sp
Saint-Just-le-Martel;Saint-Just-le-Martel;Z e sp
Saint-Just-près-Brioude;Saint-Just-près-Brioude;Z e sp
Saint-Just-sur-Dive;Saint-Just-sur-Dive;Z e sp
Saint-Just-sur-Viaur;Saint-Just-sur-Viaur;Z e sp
Saint-Justin;Saint-Justin;Z e sp
Saint-Juvat;Saint-Juvat;Z e sp
Saint-Juvin;Saint-Juvin;Z e sp
Saint-Juéry;Saint-Juéry;Z e sp
Saint-Lactencin;Saint-Lactencin;Z e sp
Saint-Lager;Saint-Lager;Z e sp
Saint-Lager-Bressac;Saint-Lager-Bressac;Z e sp
Saint-Lamain;Saint-Lamain;Z e sp
Saint-Lambert;Saint-Lambert;Z e sp
Saint-Lambert-et-Mont-de-Jeux;Saint-Lambert-et-Mont-de-Jeux;Z e sp
Saint-Lambert-la-Potherie;Saint-Lambert-la-Potherie;Z e sp
Saint-Lambert-sur-Dive;Saint-Lambert-sur-Dive;Z e sp
Saint-Langis-lès-Mortagne;Saint-Langis-lès-Mortagne;Z e sp
Saint-Lanne;Saint-Lanne;Z e sp
Saint-Laon;Saint-Laon;Z e sp
Saint-Lary;Saint-Lary;Z e sp
Saint-Lary-Boujean;Saint-Lary-Boujean;Z e sp
Saint-Lary-Soulan;Saint-Lary-Soulan;Z e sp
Saint-Lattier;Saint-Lattier;Z e sp
Saint-Launeuc;Saint-Launeuc;Z e sp
Saint-Laure;Saint-Laure;Z e sp
Saint-Laurent;Saint-Laurent;Z e sp
Saint-Laurent-Blangy;Saint-Laurent-Blangy;Z e sp
Saint-Laurent-Bretagne;Saint-Laurent-Bretagne;Z e sp
Saint-Laurent-Chabreuges;Saint-Laurent-Chabreuges;Z e sp
Saint-Laurent-Médoc;Saint-Laurent-Médoc;Z e sp
Saint-Laurent-Nouan;Saint-Laurent-Nouan;Z e sp
Saint-Laurent-Rochefort;Saint-Laurent-Rochefort;Z e sp
Saint-Laurent-d'Agny;Saint-Laurent-d'Agny;Z e sp
Saint-Laurent-d'Aigouze;Saint-Laurent-d'Aigouze;Z e sp
Saint-Laurent-d'Andenay;Saint-Laurent-d'Andenay;Z e sp
Saint-Laurent-d'Arce;Saint-Laurent-d'Arce;Z e sp
Saint-Laurent-d'Olt;Saint-Laurent-d'Olt;Z e sp
Saint-Laurent-d'Onay;Saint-Laurent-d'Onay;Z e sp
Saint-Laurent-de-Brèvedent;Saint-Laurent-de-Brèvedent;Z e sp
Saint-Laurent-de-Carnols;Saint-Laurent-de-Carnols;Z e sp
Saint-Laurent-de-Cerdans;Saint-Laurent-de-Cerdans;Z e sp
Saint-Laurent-de-Chamousset;Saint-Laurent-de-Chamousset;Z e sp
Saint-Laurent-de-Cognac;Saint-Laurent-de-Cognac;Z e sp
Saint-Laurent-de-Condel;Saint-Laurent-de-Condel;Z e sp
Saint-Laurent-de-Cuves;Saint-Laurent-de-Cuves;Z e sp
Saint-Laurent-de-Céris;Saint-Laurent-de-Céris;Z e sp
Saint-Laurent-de-Gosse;Saint-Laurent-de-Gosse;Z e sp
Saint-Laurent-de-Jourdes;Saint-Laurent-de-Jourdes;Z e sp
Saint-Laurent-de-Lin;Saint-Laurent-de-Lin;Z e sp
Saint-Laurent-de-Lévézou;Saint-Laurent-de-Lévézou;Z e sp
Saint-Laurent-de-Mure;Saint-Laurent-de-Mure;Z e sp
Saint-Laurent-de-Muret;Saint-Laurent-de-Muret;Z e sp
Saint-Laurent-de-Neste;Saint-Laurent-de-Neste;Z e sp
Saint-Laurent-de-Terregatte;Saint-Laurent-de-Terregatte;Z e sp
Saint-Laurent-de-Veyrès;Saint-Laurent-de-Veyrès;Z e sp
Saint-Laurent-de-la-Cabrerisse;Saint-Laurent-de-la-Cabrerisse;Z e sp
Saint-Laurent-de-la-Prée;Saint-Laurent-de-la-Prée;Z e sp
Saint-Laurent-de-la-Salanque;Saint-Laurent-de-la-Salanque;Z e sp
Saint-Laurent-de-la-Salle;Saint-Laurent-de-la-Salle;Z e sp
Saint-Laurent-des-Arbres;Saint-Laurent-des-Arbres;Z e sp
Saint-Laurent-des-Bois;Saint-Laurent-des-Bois;Z e sp
Saint-Laurent-des-Combes;Saint-Laurent-des-Combes;Z e sp
Saint-Laurent-des-Hommes;Saint-Laurent-des-Hommes;Z e sp
Saint-Laurent-des-Vignes;Saint-Laurent-des-Vignes;Z e sp
Saint-Laurent-du-Bois;Saint-Laurent-du-Bois;Z e sp
Saint-Laurent-du-Cros;Saint-Laurent-du-Cros;Z e sp
Saint-Laurent-du-Maroni;Saint-Laurent-du-Maroni;Z e sp
Saint-Laurent-du-Pape;Saint-Laurent-du-Pape;Z e sp
Saint-Laurent-du-Plan;Saint-Laurent-du-Plan;Z e sp
Saint-Laurent-du-Pont;Saint-Laurent-du-Pont;Z e sp
Saint-Laurent-du-Tencement;Saint-Laurent-du-Tencement;Z e sp
Saint-Laurent-du-Var;Saint-Laurent-du-Var;Z e sp
Saint-Laurent-du-Verdon;Saint-Laurent-du-Verdon;Z e sp
Saint-Laurent-en-Beaumont;Saint-Laurent-en-Beaumont;Z e sp
Saint-Laurent-en-Brionnais;Saint-Laurent-en-Brionnais;Z e sp
Saint-Laurent-en-Caux;Saint-Laurent-en-Caux;Z e sp
Saint-Laurent-en-Grandvaux;Saint-Laurent-en-Grandvaux;Z e sp
Saint-Laurent-en-Gâtines;Saint-Laurent-en-Gâtines;Z e sp
Saint-Laurent-en-Royans;Saint-Laurent-en-Royans;Z e sp
Saint-Laurent-l'Abbaye;Saint-Laurent-l'Abbaye;Z e sp
Saint-Laurent-la-Conche;Saint-Laurent-la-Conche;Z e sp
Saint-Laurent-la-Gâtine;Saint-Laurent-la-Gâtine;Z e sp
Saint-Laurent-la-Vallée;Saint-Laurent-la-Vallée;Z e sp
Saint-Laurent-la-Vernède;Saint-Laurent-la-Vernède;Z e sp
Saint-Laurent-le-Minier;Saint-Laurent-le-Minier;Z e sp
Saint-Laurent-les-Bains-Laval-d'Aurelle;Saint-Laurent-les-Bains-Laval-d'Aurelle;Z e sp
Saint-Laurent-les-Tours;Saint-Laurent-les-Tours;Z e sp
Saint-Laurent-les-Églises;Saint-Laurent-les-Églises;Z e sp
Saint-Laurent-sous-Coiron;Saint-Laurent-sous-Coiron;Z e sp
Saint-Laurent-sur-Gorre;Saint-Laurent-sur-Gorre;Z e sp
Saint-Laurent-sur-Mer;Saint-Laurent-sur-Mer;Z e sp
Saint-Laurent-sur-Othain;Saint-Laurent-sur-Othain;Z e sp
Saint-Laurent-sur-Oust;Saint-Laurent-sur-Oust;Z e sp
Saint-Laurent-sur-Saône;Saint-Laurent-sur-Saône;Z e sp
Saint-Laurent-sur-Sèvre;Saint-Laurent-sur-Sèvre;Z e sp
Saint-Laurs;Saint-Laurs;Z e sp
Saint-Leu;Saint-Leu;Z e sp
Saint-Leu-d'Esserent;Saint-Leu-d'Esserent;Z e sp
Saint-Leu-la-Forêt;Saint-Leu-la-Forêt;Z e sp
Saint-Lieux-lès-Lavaur;Saint-Lieux-lès-Lavaur;Z e sp
Saint-Lin;Saint-Lin;Z e sp
Saint-Lions;Saint-Lions;Z e sp
Saint-Lizier;Saint-Lizier;Z e sp
Saint-Lizier-du-Planté;Saint-Lizier-du-Planté;Z e sp
Saint-Lon-les-Mines;Saint-Lon-les-Mines;Z e sp
Saint-Longis;Saint-Longis;Z e sp
Saint-Lormel;Saint-Lormel;Z e sp
Saint-Lothain;Saint-Lothain;Z e sp
